
Delta Timestamp,Old Label,New label,head.x,head.y,head.z,leftShoulder.x,leftShoulder.y,leftShoulder.z,leftElbow.x,leftElbow.y,leftElbow.z,leftWrist.x,leftWrist.y,leftWrist.z,leftHand.x,leftHand.y,leftHand.z,leftFingerTip.x,leftFingerTip.y,leftFingerTip.z,leftHip.x,leftHip.y,leftHip.z,leftKnee.x,leftKnee.y,leftKnee.z,leftAnkle.x,leftAnkle.y,leftAnkle.z,leftFoot.x,leftFoot.y,leftFoot.z,rightShoulder.x,rightShoulder.y,rightShoulder.z,rightElbow.x,rightElbow.y,rightElbow.z,rightWrist.x,rightWrist.y,rightWrist.z,rightHand.x,rightHand.y,rightHand.z,rightFingerTip.x,rightFingerTip.y,rightFingerTip.z,	rightHip.x,rightHip.y,rightHip.z,rightKnee.x,rightKnee.y,rightKnee.z,rightAnkle.x,rightAnkle.y,rightAnkle.z,rightFoot.x,rightFoot.y,rightFoot.z,spine.x,spine.y,spine.z,shoulderCenter.x,shoulderCenter.y,shoulderCenter.z,leftThumb.x,leftThumb.y,leftThumb.z,rightThumb.x,rightThumb.y,rightThumb.z,ballX,ballY
81,free_gestures,free_gestures,-1.079506344265408E-6,-1.4783423623920958E-6,5.092149899329669E-7,-5.422918884842484E-6,-3.792253541357723E-6,-6.875874083719136E-6,-4.854835109946169E-6,6.391862292348603E-6,-1.6907115041473766E-5,-5.3898051933006E-6,6.249013506335977E-6,-1.7283875265239196E-5,9.10516138429995E-6,5.784961912367079E-6,-1.091721617145303E-5,1.5419942361337167E-4,-3.3538650583337856E-5,1.2076636891306183E-4,-4.078686973195017E-6,6.526156708046242E-7,6.2047699351369595E-6,-3.0194719632466633E-5,-1.8871124879813489E-6,2.5019233609423226E-6,-1.1540673397205495E-5,1.2980567084418403E-6,6.343111579800829E-6,-2.2887079804031935E-6,1.3488310354727286E-6,7.81188776463638E-6,-4.183340035838845E-6,6.582633948620454E-6,2.153420153959298E-5,-2.0607938001185287E-5,1.243768650808452E-5,2.2661538771641106E-5,1.1376208729214139E-5,1.2197244314499843E-5,2.5351842244466145E-5,5.776752476338987E-5,-2.861252905410013E-5,-2.4730776563102816E-5,1.0673770750010455E-4,-9.364938294446026E-5,-3.8856341515058355E-5,-7.754168760629348E-6,3.993718160523309E-6,2.0003613130545912E-5,-4.0212255201221985E-5,-3.92139693837107E-5,5.93986040280189E-5,1.3412424811610468E-6,-1.5091748885166497E-5,2.419801405918451E-5,7.037023013388669E-4,-9.82961536925516E-5,-0.001314769556492935,-2.386945265310782E-6,1.0487841971126604E-6,5.875104739342207E-6,4.987289876113703E-7,7.829548400125386E-7,2.281165417329765E-6,1.1483938605697067E-4,-1.9967666378727667E-4,-1.2252654558346596E-4,-8.657712627340246E-6,-1.1198765333787894E-4,1.4679520218460648E-4,0.0,0.0
66,free_gestures,free_gestures,6.773255088112572E-8,-1.3185269904859138E-6,1.0801084113843513E-6,-1.341104507446289E-6,-5.535555608344801E-6,-7.510185241699219E-6,-3.003261306069114E-6,1.0000485362428607E-5,-1.6537579623135652E-5,-6.089607874552409E-6,9.060470443783384E-6,-1.9799579273570668E-5,1.2870990868770715E-5,6.105412136424672E-6,-3.154350049567945E-5,1.2047363050056227E-5,-2.0867947376135625E-5,1.624136260061553E-5,-2.4875908186941436E-6,6.457734288591327E-7,5.606449011600379E-6,-3.058689110206835E-5,1.1037244941249039E-5,-1.0053316752115885E-5,-1.1876451246666186E-5,-2.1448641112356475E-6,6.090510975230824E-6,-4.377554763447154E-6,-2.096096674601237E-6,7.329565106016217E-6,-3.1799303762840503E-6,7.516506946448124E-6,1.3846339601458926E-5,-9.889968416907571E-6,2.0962321397029992E-5,1.3495936538233902E-5,1.7611592104940703E-6,2.4728589888774987E-5,2.975897355513139E-5,6.311973839095144E-5,-3.6818274494373435E-4,1.0455738414417614E-4,9.521853291627133E-5,-8.213881290320194E-5,1.5437964237097538E-4,-5.7039838848692E-6,3.9731632127906336E-6,1.9720106413870148E-5,1.0906295342878861E-5,1.3475616772969564E-5,-2.6334415782581675E-6,5.784924283172145E-7,-4.218383268876509E-6,8.120681300307766E-6,0.001581162355388656,-1.6248045545635802E-4,-0.0016907309040878758,-2.0017226537068686E-6,1.4849232904838794E-6,5.956852074825402E-6,5.111549839828954E-7,1.2404087818030156E-6,2.575643134839607E-6,1.6735584446878144E-4,-2.3948039972420895E-4,-1.4671051140987512E-4,7.37309455871582E-5,-2.1841591506293327E-4,5.915309443618312E-5,0.0,0.0
81,free_gestures,free_gestures,1.4343747386225947E-6,-5.106867095570506E-7,1.66598661446277E-6,-4.8706560959050686E-6,-1.0512861204736026E-5,-1.2285915421850888E-5,-5.128574960025741E-6,1.1456969343585733E-5,-1.8290531488112462E-5,-2.9548450752540872E-6,1.0459051455980465E-5,-2.2052246847270446E-5,3.701411647561156E-5,-1.9908963162222026E-5,-7.012744008758922E-5,-3.168685936633452E-5,-4.2865305771062404E-5,-1.799324412404755E-4,-5.709536281632789E-6,-1.1345578564537896E-6,5.981068552276235E-6,-5.6850137533964936E-5,-8.316687595697097E-6,-1.0272602976104359E-5,-1.2743620224940925E-5,-2.678529715832369E-6,7.923738456066744E-6,-2.26350478184076E-6,-2.59979271594389E-6,9.648593855492862E-6,-4.628949143268444E-6,9.47713851928711E-6,1.756644543306327E-5,-8.115705884533164E-6,8.314663981213982E-6,2.7382815325701677E-5,2.0726503413400532E-5,4.4494683359876094E-6,1.4243302521882234E-5,6.27016947593218E-5,-3.0735990515461673E-4,5.147486557195216E-5,7.683995329303506E-5,-2.9264408865092712E-5,8.052955439061294E-5,-1.0668817493650648E-5,2.4579557371728213E-6,2.364464748052903E-5,1.365627035682584E-5,1.2819413785581236E-5,3.5439008547935957E-6,-2.883029756722627E-6,-1.577683437017747E-6,1.1232164171006945E-5,6.207557004175068E-4,-6.545252270168728E-5,-2.4568887404453606E-5,-5.444074854438687E-6,6.985149265807352E-7,5.913369449568383E-6,-2.3817942466264887E-6,8.53965311874578E-7,1.2215272879894868E-6,7.57243898179796E-5,-8.506447444727392E-5,-7.306204901801216E-5,2.989559261887162E-5,-8.080458199536359E-5,6.728702121310764E-6,0.0,0.0
84,free_gestures,free_gestures,9.808157171521868E-7,-5.861123402913412E-7,1.5043077014741443E-6,-4.256055468604678E-6,-6.519612811860584E-6,-6.025745755150205E-6,-6.294321446191697E-6,4.642421290988014E-6,-1.0053316752115885E-5,-7.794726462591262E-7,4.203901404426211E-6,-1.1966342017764137E-5,3.6594768365224205E-5,2.5426880234763735E-6,-5.4089795975458055E-5,5.068133274714152E-5,-2.540789899371919E-5,-1.9697915940057666E-6,-3.896831046967279E-6,-1.3341639368307023E-6,1.651900155203683E-6,-3.748014569282532E-5,-8.242116087958926E-6,-7.152557373046875E-6,-8.84791924839928E-6,-1.4390264238630022E-6,4.0559541611444384E-6,-3.887074334280831E-6,-1.365230196998233E-6,4.864874340239025E-6,-2.245840039991197E-6,3.6071453775678364E-6,8.077848525274367E-6,-2.966129354068211E-6,5.363885845456805E-6,1.975468226841518E-5,3.52813374428522E-5,-5.668029189109802E-6,-2.0328022184826078E-5,6.637908518314362E-5,-1.381381991363707E-5,-8.938426063174294E-5,1.8729562205927713E-5,-9.20508589063372E-5,-1.428297587803432E-4,-6.479698987234206E-6,3.973642985026042E-7,1.2460209074474516E-5,8.377734394300551E-6,5.3807383491879415E-6,3.3094769432431177E-6,-2.976396076735996E-6,-1.3900654656546457E-6,9.46294693719773E-6,7.628303553376879E-5,-1.9531164850507465E-5,7.631381352742513E-5,-3.818422555923462E-6,4.5005054700942267E-7,3.1675611223493305E-6,-2.037733793258667E-6,8.614290328252883E-7,8.713631402878534E-7,9.182166485559373E-5,-5.6100210973194665E-5,-5.925269353957403E-5,3.861334352266221E-5,4.645437002182007E-5,-6.816500709170387E-5,0.0,0.0
69,free_gestures,free_gestures,1.3716626858365709E-5,1.8201012542282327E-6,9.325967318769814E-6,-2.703804900680763E-6,-7.0415545200956044E-6,-1.1243681976760643E-5,-3.836725069128948E-6,3.724210504172505E-6,-1.4115070951157723E-5,-1.5426805053932078E-5,-2.654998198799465E-6,-3.855124763820482E-5,2.8613252916197847E-5,-4.390335601309071E-6,-4.97707422228827E-5,-1.8947798272837762E-5,2.8506569240404213E-8,-2.170783886011096E-4,-4.504253898841747E-6,-1.875953613847926E-6,2.1803206291751587E-6,-3.504904283993486E-5,-2.2061925003494043E-5,1.6516533450803894E-6,-8.365382318911346E-6,-3.083892490552819E-7,1.9211699997169385E-6,-3.474778023318968E-7,-1.9436297209366507E-7,3.2272891721863677E-6,-2.461957974710326E-6,5.1329101341358126E-6,1.2497971023338428E-5,-3.0211564423381416E-6,1.7795873724895976E-5,9.146289549012115E-6,4.467994406603385E-5,8.518713108007459E-6,-2.4809353593466938E-5,4.201981684435969E-5,-8.19682643033456E-6,-1.4788862587749094E-5,-1.257866944955743E-4,6.493191788162011E-5,-5.1916509434796765E-5,-7.568494133327318E-6,1.3278770274010257E-7,1.265000605928725E-5,-2.2049777317738187E-5,-4.118205844492152E-5,4.829876664756001E-5,-1.2790973203769629E-6,1.2930752574533656E-5,-3.4484310426573823E-6,6.673817077408666E-6,1.2931616409965184E-5,-2.16649926227072E-6,-4.211197728696077E-6,-1.0858411374299422E-6,2.2839808809584467E-6,-1.9416860912157143E-6,-1.6818875851838484E-6,-4.94113866833673E-7,-2.0527062208756158E-4,3.132105305574942E-4,8.913053982499717E-5,5.600369278935418E-5,1.3084515281345534E-4,-7.618682971899061E-5,0.0,0.0
97,free_gestures,free_gestures,1.355882772465342E-5,5.759529231749859E-6,8.34710819205058E-6,-1.635133605642417E-6,-3.0161793698969575E-6,-8.897683055130477E-6,-3.120026637598411E-6,2.2894021162052743E-6,-1.1798032780283506E-5,-7.722181143219937E-6,-5.001797504031781E-6,-4.0469710359868314E-5,2.806149807172952E-5,-6.5746381110751754E-6,-5.790376171623309E-5,-8.87178268629251E-5,1.0244778751098003E-5,-2.0770928294388288E-4,-2.8954338781612434E-6,-5.54857026670397E-7,6.19396720964884E-7,-3.3981714052023346E-5,-1.0007435513525894E-5,-1.0954965021192412E-5,-8.116217003655188E-6,3.004811473728455E-6,2.998666664988724E-7,-1.8812331956686433E-6,3.065030599377819E-6,1.3100732233106476E-6,-2.382553576194134E-6,4.559755325317383E-6,9.910347535438145E-6,-2.2954701148357586E-6,1.2628964542113628E-5,6.338984695906492E-6,4.919111421427776E-5,4.995038214418077E-6,-2.176245463263128E-5,3.8479714049506435E-5,2.91356720875219E-4,-1.223357682375564E-4,1.0286644101142883E-4,6.248748179563542E-5,-6.87259988686473E-5,-5.012051653616207E-6,5.516117995547265E-7,9.163138792686855E-6,-9.812145810766319E-6,-1.7792293705891088E-5,2.5311696160699903E-5,-6.3782346617315235E-6,-2.0319039059668473E-5,1.9439716929012967E-5,-0.0010368302656510442,7.028309340329514E-5,0.0011705295326783485,-3.469666254889105E-6,-2.1168866108373267E-7,1.3248207642860019E-6,-2.6156914602849903E-6,-4.2399180304143844E-7,-1.182261201524243E-6,-1.0622346524110774E-4,2.4216737329345387E-4,-7.14764152605509E-5,5.596518977401183E-6,3.250891093126277E-4,-5.635526991382088E-5,0.0,0.0
70,free_gestures,free_gestures,1.7192746911730084E-5,7.328816822596959E-6,1.0657310485839844E-5,2.1057469504220145E-6,2.7660812650408064E-6,-5.194119044712611E-6,-1.2206179755074637E-6,-6.558639662606375E-7,-1.0776519775390626E-5,-1.302318913596017E-5,-1.0490949664797102E-5,-4.923003060477121E-5,8.190103939601352E-6,1.968347600528172E-5,-2.883161817278181E-5,-7.491239479609899E-5,4.412212542125157E-5,-6.430489676339286E-5,2.4906226566859656E-7,1.1528443012918745E-6,-7.765633719308036E-7,-1.0144284793308803E-5,6.162694522312709E-6,-1.2772423880440848E-5,-7.69836562020438E-6,5.2409512656075615E-6,-3.010886056082589E-6,-4.1150621005467E-6,5.279268537248884E-6,-2.438681466238839E-6,-9.434031588690621E-7,2.4391072137015206E-6,6.461143493652344E-6,-3.114662000111171E-6,2.7643357004438127E-5,-1.0177067347935267E-5,4.584182585988726E-5,2.508855291775295E-5,-1.857961927141462E-5,4.0279967444283625E-5,4.122527582304818E-4,-1.3050351824079242E-4,1.4340616762638093E-4,4.30077314376831E-5,-4.2860848563058036E-5,2.2032431193760464E-8,1.6662957412855966E-6,3.93050057547433E-6,-1.9116007855960302E-5,-2.678334712982178E-5,2.849102020263672E-5,-4.9568978803498406E-6,-3.030811037336077E-5,2.1597317286900112E-5,-6.642433149474007E-4,1.9934347697666712E-5,5.633149828229632E-5,-3.957322665623256E-7,2.984489713396345E-7,6.096703665597098E-7,-3.8657869611467634E-7,-4.0616307939801896E-7,-6.232942853655134E-7,-7.702665669577463E-5,2.0821073225566318E-4,-1.5282971518380302E-4,4.2679453534739355E-5,3.3804806215422494E-4,-3.0105454581124442E-5,0.0,0.0
80,free_gestures,free_gestures,2.0726025104522706E-5,6.797909736633301E-6,9.828805923461914E-6,2.0835548639297484E-6,3.6418437957763673E-6,-5.295872688293457E-6,-1.257285475730896E-6,3.180652856826782E-6,-2.086162567138672E-5,-1.238696277141571E-5,-5.257967859506607E-6,-5.369186401367187E-5,4.739910364151001E-5,1.5772134065628052E-5,-1.6736984252929688E-5,-3.041587769985199E-5,2.7487054467201234E-6,-5.0014257431030275E-5,-3.2540410757064817E-7,1.167086884379387E-6,-5.155801773071289E-7,-7.120706140995026E-6,3.152266144752502E-5,-3.27378511428833E-5,-4.618987441062928E-6,3.2298266887664795E-6,-1.928210258483887E-6,1.0302290320396424E-6,3.3803284168243407E-6,-1.0848045349121093E-6,7.796566933393478E-7,2.9243528842926025E-6,1.3816356658935548E-5,-4.658009856939316E-6,9.73101705312729E-6,-2.682209014892578E-6,4.49134036898613E-5,6.143189966678619E-6,-1.590549945831299E-5,5.331439897418022E-5,3.3518197014927866E-4,-1.5080273151397706E-4,8.841915987432004E-5,7.391739636659622E-5,-3.1458139419555665E-4,-5.657784640789032E-8,1.4655524864792824E-6,3.5077333450317384E-6,-1.1022202670574188E-6,-6.263330578804016E-6,1.9490718841552736E-6,-6.4889900386333466E-6,-2.536103129386902E-5,1.4451146125793456E-5,-1.5049800276756287E-4,2.7438998222351076E-5,-8.138418197631836E-5,-4.852190613746643E-7,4.4908374547958373E-7,4.917383193969727E-7,-2.173706889152527E-7,1.0132789611816406E-7,-1.043081283569336E-6,-1.0564178228378296E-4,1.77841167896986E-4,2.6926398277282715E-5,6.133574061095715E-5,2.6528416201472283E-4,-1.3068318367004395E-5,0.0,0.0
85,free_gestures,free_gestures,9.68645600711598E-6,5.457681768080767E-6,2.429064582375919E-6,5.55725658641142E-7,3.4237609190099378E-6,-1.7334433162913603E-6,-6.240956923540901E-7,3.1231080784517177E-6,-1.2765211217543658E-5,2.777225830975701E-6,1.3823018354528092E-7,-2.4879679960363053E-5,4.6662022085750805E-5,-5.304462769452264E-6,-1.76850487204159E-5,-5.2795690648696E-5,-2.208089127260096E-5,-5.4931640625E-5,-1.591794631060432E-7,1.0386766756282133E-6,-9.087955250459558E-7,-8.675280739279355E-6,3.10820691725787E-5,-3.4135930678423716E-5,-4.787655437693877E-7,2.4031190311207492E-6,-5.525701186236214E-7,2.493753152735093E-6,2.4893704582663144E-6,-1.3744129854090072E-7,7.90331293554867E-7,1.7804258009966682E-6,8.846731746897979E-6,-1.986061825471766E-6,-1.3640698264626895E-5,5.6659474092371326E-6,2.4385487332063563E-5,-1.6094305936027975E-5,-4.364462459788603E-6,2.6808459969127878E-5,3.1510644099291634E-4,-1.6206012052648208E-4,1.8461679711061365E-4,5.275098716511446E-5,-2.9706393971162684E-4,3.5280690473668715E-7,5.287940011304967E-7,2.524432014016544E-7,2.140705199802623E-5,2.9287969364839442E-5,-3.195089452406939E-5,-8.265498806448545E-6,-3.259392345652861E-5,2.0798514871036305E-5,-7.832451449597583E-4,7.911640055039349E-5,0.0012145519256591796,-6.717794081744026E-7,8.167589412016027E-7,-3.814697265625E-7,-1.294998561634737E-6,1.3113021850585938E-6,-1.4164868523092831E-6,9.41788449006922E-6,1.8014714998357437E-5,-2.7179718017578126E-6,-1.6495234826031853E-5,2.3605525493621826E-4,1.0027604944565718E-5,0.0,0.0
70,free_gestures,free_gestures,1.4403462409973145E-5,2.405473164149693E-6,1.1512211390904017E-6,-1.390491213117327E-6,1.009021486554827E-6,-3.201620919363839E-7,2.162371362958636E-6,8.797645568847656E-6,-1.8480845860072546E-5,-1.5697308949061802E-6,7.633971316473824E-6,-2.2871153695242746E-5,3.0510340418134417E-5,-9.33994139943804E-6,1.369885035923549E-5,7.507673331669399E-5,-1.960801226752145E-5,6.240776606968471E-5,5.458082471575055E-7,6.883804287229265E-8,-3.984996250697545E-7,2.1119841507502964E-5,1.6367009707859585E-5,-7.404599870954241E-6,3.6322644778660367E-6,-4.569121769496373E-6,-3.0994415283203126E-7,7.63280051095145E-6,-4.380089896065848E-6,2.6566641671316965E-7,-1.2008739369256157E-7,3.5068818501063758E-6,1.2888227190290179E-5,1.9963298525129044E-6,-1.0353539671216692E-5,8.106231689453125E-6,1.0121187993458339E-5,-1.4360142605645317E-5,-8.81126948765346E-6,4.171484283038548E-5,-5.597919225692749E-5,-1.1202267238071987E-5,-1.2479866189616068E-4,-7.641868931906564E-5,-1.0715212140764509E-4,1.700382147516523E-6,1.3727694749832154E-7,1.5599387032645089E-6,1.955718866416386E-5,1.7158048493521553E-5,-2.1937915257045202E-5,-2.9881085668291366E-6,2.270936965942383E-6,-6.164823259626116E-6,4.959451300757272E-4,8.802754538399832E-6,-1.5105179377964564E-4,1.617840358189174E-6,-7.339886256626675E-7,5.824225289481027E-7,3.41449465070452E-6,-1.8715858459472655E-6,2.384185791015625E-8,1.7105000359671457E-4,-2.2642314434051514E-4,1.9047600882393973E-4,1.3514110552413123E-4,-3.483063408306667E-4,-7.39915030343192E-5,0.0,0.0
