
Delta Timestamp,Old Label,New label,head.x,head.y,head.z,leftShoulder.x,leftShoulder.y,leftShoulder.z,leftElbow.x,leftElbow.y,leftElbow.z,leftWrist.x,leftWrist.y,leftWrist.z,leftHand.x,leftHand.y,leftHand.z,leftFingerTip.x,leftFingerTip.y,leftFingerTip.z,leftHip.x,leftHip.y,leftHip.z,leftKnee.x,leftKnee.y,leftKnee.z,leftAnkle.x,leftAnkle.y,leftAnkle.z,leftFoot.x,leftFoot.y,leftFoot.z,rightShoulder.x,rightShoulder.y,rightShoulder.z,rightElbow.x,rightElbow.y,rightElbow.z,rightWrist.x,rightWrist.y,rightWrist.z,rightHand.x,rightHand.y,rightHand.z,rightFingerTip.x,rightFingerTip.y,rightFingerTip.z,	rightHip.x,rightHip.y,rightHip.z,rightKnee.x,rightKnee.y,rightKnee.z,rightAnkle.x,rightAnkle.y,rightAnkle.z,rightFoot.x,rightFoot.y,rightFoot.z,spine.x,spine.y,spine.z,shoulderCenter.x,shoulderCenter.y,shoulderCenter.z,leftThumb.x,leftThumb.y,leftThumb.z,rightThumb.x,rightThumb.y,rightThumb.z,ballX,ballY
66,free_gestures,free_gestures,-2.976732723640673E-6,2.960364023844401E-6,-3.38446010242809E-5,-6.554253173596932E-6,5.652055595860337E-6,6.249456694631865E-6,2.895792325337728E-6,-4.02105577064283E-6,5.660635052305279E-6,-7.1173364465886895E-6,1.5580744454354951E-6,2.2638927806507457E-5,-6.101303028337883E-5,3.2925063913518733E-4,-1.8764625896107066E-4,-2.4509407354123664E-4,-8.010051467201926E-5,-1.4111489960641572E-4,-6.704732324137832E-6,5.6971824078848865E-6,-3.2547748450076943E-6,-1.7398234569665156E-6,3.518299622969194E-5,-2.489667950254498E-5,8.72508142933701E-6,2.7427167603463838E-6,7.416262771144058E-6,4.1316856037486686E-8,2.749038465095289E-6,8.059270454175545E-6,-6.854759924339525E-6,-6.3027396346583515E-6,-1.8708633654045336E-5,-2.308483376647487E-5,-1.1941248720342463E-6,-3.5748337254379734E-5,-3.394958647814664E-5,-3.282940297415762E-6,-4.856875448515921E-5,-4.225833849473433E-6,5.784134070078532E-6,4.1542631207090436E-7,-1.3257608269200182E-4,-6.168177633574514E-7,1.51684789946585E-5,-1.1036003177816218E-5,3.0394699988943157E-6,-1.73828818581321E-5,-7.1846174471306075E-6,-3.6173697673913203E-6,2.004883506081321E-6,1.9004624901395855E-6,-3.2918019728227095E-6,-2.478108261570786E-6,-6.719181934992473E-6,-3.2195539185495088E-6,-1.817038564970999E-6,-1.1015006087043069E-6,-5.084456819476504E-7,-7.62578212853634E-6,5.544812390298555E-6,-4.502859982577237E-6,-1.054460352117365E-5,-4.415959119796753E-5,4.700789877185316E-4,-1.6389109871604225E-4,-2.7419265472527705E-5,5.5760258074962735E-5,-9.633555556788589E-5,0.0,0.0
67,free_gestures,free_gestures,2.1365929895372534E-6,3.3360808642942514E-7,-1.8646467977495337E-6,-1.0223753416716163E-5,-1.5715164924735454E-6,1.1273284456623135E-5,9.874799358310984E-7,-4.289310369918596E-6,5.198948418916161E-6,6.876774688265217E-7,-9.816695949924525E-7,1.6219580351416743E-5,2.662303732402289E-5,-2.2386715038498835E-5,-1.9361723714800023E-5,1.4852521134846246E-4,-8.978883721935216E-5,-1.9699068211797457E-4,-4.127621650695801E-6,3.037307022222832E-6,-3.6367729528626397E-6,4.3558095818135274E-7,-9.706216071968648E-6,1.472501612421292E-5,7.330926496591141E-6,1.3482659610349741E-5,-1.1668276430955573E-5,-3.3761138346657826E-7,1.3135262389681233E-5,-1.082135670220674E-5,-6.557956560334163E-6,-8.798357266098705E-7,-1.4187684699670593E-5,-1.4300221827492785E-5,-1.0926332046736532E-5,-1.4600469105279267E-5,-2.2310374388054234E-5,-1.0892748832702637E-5,-1.355427414623659E-5,-1.2636851908555671E-5,-1.308043946081133E-5,3.4019128600163245E-6,4.593249577194897E-5,3.836048183156484E-6,-1.0228512892082555E-4,-4.089840534907669E-6,2.2392052767881707E-6,-1.1027748905011078E-5,-5.400447703119534E-6,-8.575951875145755E-7,-1.5515000072877799E-6,-1.572406114037357E-7,-3.3761138346657826E-7,1.238353216826026E-6,-7.761836941562482E-6,-5.773643949138584E-7,2.103065376851096E-6,-2.1930283574915644E-6,-9.732459908101095E-7,-1.0582938123105177E-5,1.3823051061203231E-6,-4.103824273863835E-6,-1.5415362457730876E-5,3.463897242474912E-5,-2.3477780285166272E-5,-6.465769525784165E-6,1.0577555912644116E-4,2.27900916960702E-4,-2.745656824823636E-4,0.0,0.0
80,free_gestures,free_gestures,-1.8605031073093415E-6,-1.7210841178894044E-7,-3.7372112274169924E-6,-1.9399262964725494E-5,-2.292320132255554E-5,3.08990478515625E-5,2.2131949663162232E-6,-3.5746023058891295E-6,7.528066635131836E-6,-6.395205855369568E-6,-1.815101131796837E-6,1.221299171447754E-5,4.3503567576408385E-5,-3.0192406848073004E-5,-5.035400390625E-5,1.18207186460495E-4,-9.643901139497758E-5,-7.331371307373047E-5,-1.0435841977596283E-5,2.4158507585525513E-6,-6.574392318725586E-6,-2.9420480132102964E-7,-7.620640099048615E-6,1.322627067565918E-5,3.902614116668701E-6,3.2341480255126954E-5,-1.8578767776489257E-5,-9.098462760448455E-6,3.2055377960205075E-5,-1.7488002777099608E-5,-8.874200284481049E-6,-5.930662155151367E-6,-1.7547607421875E-5,-2.3555010557174683E-5,-2.499837428331375E-5,-2.6944279670715333E-5,-2.4091824889183046E-5,-2.2010738030076026E-5,-6.848573684692383E-6,-2.5260820984840392E-5,-6.356341764330864E-5,3.070235252380371E-5,-7.494501769542695E-5,5.902722477912903E-6,-1.576453447341919E-4,-7.2051538154482845E-6,1.1776573956012726E-7,-1.0952353477478027E-5,-7.577240467071533E-6,2.489425241947174E-6,-6.335973739624023E-6,-1.368112862110138E-6,-2.6497989892959593E-6,-7.838010787963867E-7,-1.4329142868518829E-5,-2.6434659957885743E-6,3.457069396972656E-7,-8.382322266697884E-6,-1.189112663269043E-6,-1.2046098709106445E-5,-4.789978265762329E-6,-3.135949373245239E-6,-1.582801342010498E-5,2.53576785326004E-5,1.6859490424394607E-4,-1.4159679412841796E-4,-2.943091094493866E-5,1.533827744424343E-4,-1.671910285949707E-6,0.0,0.0
68,free_gestures,free_gestures,-3.107823431491852E-6,-6.538980147417854E-7,-2.6681843925924863E-6,-1.6619615695055792E-5,-3.162727636449477E-5,3.244245753568761E-5,-4.0759058559642117E-7,-3.7011854788836313E-7,3.327341640696806E-6,-1.203093458624447E-5,1.8259400830549353E-7,3.527192508473116E-6,7.298676406635958E-5,-3.4518118071205476E-4,1.3277109931497013E-4,1.7707575769985423E-4,2.1927277831470265E-5,7.401494418873506E-6,-8.905416025834925E-6,-5.302786388817955E-7,-5.946439855238971E-6,-3.2070366775288303E-7,-9.37370692982393E-6,1.615285873413086E-5,-4.904673380010268E-6,2.9396484879886403E-5,-1.679097904878504E-5,-1.611560583114624E-5,2.9264127506929287E-5,-1.5949501710779525E-5,-7.230131065144258E-6,-5.515620988958022E-6,-1.2958751005284926E-5,-1.837554223397199E-5,-2.8674655100878546E-5,-2.1706609164967257E-5,-1.5064635697533103E-5,-2.5666373617508833E-5,-2.0300640779383044E-6,-1.587828292566187E-5,-6.19728337315952E-5,1.895427703857422E-5,2.846998326918658E-6,-2.5993760894326602E-6,6.862598306992474E-5,-3.6604812040048488E-6,-2.3224993663675647E-6,-4.56852071425494E-6,-4.161477965467116E-6,4.316954051747041E-6,-7.331371307373047E-6,-1.6711214009453268E-6,-3.216897740083582E-6,-9.256250718060662E-7,-1.291886848561904E-5,-3.0757749781889073E-6,-5.259233362534467E-8,-9.482836022096522E-6,-1.4870482332566206E-6,-8.544501136330997E-6,-9.651788893867942E-6,-1.2661604320301729E-6,-9.96098798864028E-6,5.241965546327479E-5,-2.8684139525627386E-4,-1.242230920230641E-5,-8.344255826052497E-5,-1.2029203421929303E-4,1.7058849334716797E-4,0.0,0.0
79,free_gestures,free_gestures,-2.6932905746411675E-6,3.1914892075937006E-7,-4.626527617249307E-6,-1.3424437257307994E-5,-1.9800059403045268E-5,2.515466907356359E-5,-1.3982570624049706E-6,5.685453173480456E-6,1.9345102430898933E-6,-1.572657235061066E-5,4.292784046523179E-6,-4.689904707896558E-6,5.72285697429995E-5,-3.079027880596209E-4,1.2177757070034366E-4,2.290757396553136E-4,2.949864049501057E-5,-1.092258887954905E-4,-1.306680938865565E-5,1.5466084963158716E-6,-8.54987132398388E-6,-2.1280367163163198E-6,6.225101555450053E-6,5.036969728107694E-6,-1.0350459738622738E-5,1.2142748772343502E-5,-8.800361729875395E-6,-2.204994612102267E-5,1.2118605118763597E-5,-7.82254375988924E-6,-7.683434818364397E-6,-1.226610775235333E-5,-1.6447864001310323E-5,-2.9590499551990363E-5,-2.9254374624807624E-5,-2.4273425717897054E-5,-9.051229380354097E-6,-2.529542846015737E-5,1.6598761836184732E-7,-3.211351135109044E-5,-4.291996548447428E-5,2.498868145520174E-5,1.1243963543372818E-4,-7.630714887305151E-7,2.1083445488652096E-5,-8.034130817727198E-6,-1.989234286018565E-6,-4.176852069323576E-6,-5.0559262686137916E-6,2.4102156675314602E-6,-6.026859524883802E-6,-7.474912872797326E-6,-1.7953069904182532E-6,1.8228458452828323E-6,-1.9203352777263787E-5,-1.7066545124295392E-6,2.809717685361452E-6,-9.70348527159872E-6,-1.456164106538024E-6,-9.823449050323873E-6,-7.70517353770099E-6,-1.9616718533672863E-6,-1.218650914445708E-5,2.6636108567443075E-5,-2.5864936930092075E-4,5.878677851037134E-5,-4.7290438338171075E-5,-8.741030587425715E-5,2.3232230657263648E-5,0.0,0.0
85,free_gestures,free_gestures,-3.452116952222936E-6,3.947931177475873E-7,-4.2129965389476106E-6,-9.380543933195226E-6,-1.3436640010160559E-5,1.7620535457835478E-5,3.3115639406092025E-7,5.59687614440918E-6,2.1233278162339155E-6,-1.1552782619700712E-5,2.9091449344859402E-6,-8.470871869255515E-6,1.4758811277501724E-5,-2.0793913041844088E-5,-2.5165782255284925E-5,6.542609018438003E-5,-1.0116836603950051E-5,-2.1163155050838695E-5,-1.1588545406565947E-5,1.7412883393904743E-6,-6.510229671702665E-6,-2.34149834688972E-6,1.3763063094195198E-5,-7.399390725528493E-6,-7.801546769983627E-6,7.579957737642176E-6,-3.0349282657398895E-6,-1.589813653160544E-5,7.667962242575253E-6,-2.4402842802159924E-6,-4.539945546318503E-6,-1.1876050163717831E-5,-1.0251998901367188E-5,-2.3698806762695314E-5,-1.91649969886331E-5,-1.9045437083524815E-5,-1.449444714714499E-6,-1.5106709564433378E-5,6.01656296673943E-6,-3.0958126573001636E-5,-3.9825982907239126E-5,3.427617690142463E-5,-4.516980227302102E-6,3.902088193332448E-6,-1.0305292466107537E-4,-8.096195319119622E-6,-1.6450005419114056E-6,-1.8428353702320772E-6,-4.2445519391228175E-6,1.8054948133580826E-6,-4.4766594381893384E-6,-6.774067878723145E-6,-1.3228724984561696E-6,7.208655862247242E-7,-1.4880825491512523E-5,-1.1584338019875918E-6,1.321119420668658E-6,-7.592886686325073E-6,-5.1575548508588E-7,-5.290087531594669E-6,-5.037644330193015E-6,-5.269751829259536E-7,-6.103515625E-6,-2.0617421935586367E-5,1.6626492142677308E-4,-6.359605228199679E-5,-8.827395298901726E-5,-2.028582727207857E-5,9.997031267951517E-5,0.0,0.0
70,free_gestures,free_gestures,1.6265149627413068E-6,6.701265062604631E-7,2.387591770717076E-6,4.6027132443019325E-5,-2.6181765965053014E-5,-7.750647408621652E-5,-6.686768361500332E-5,-2.541280218533107E-4,9.863036019461496E-5,-1.0610904012407575E-5,-2.6249451828854424E-4,7.541860852922712E-5,-3.8036278315952847E-6,-1.5150526804583414E-4,1.8649782453264508E-4,-6.346851587295532E-5,-4.278517195156642E-5,-1.549380166190011E-5,-5.5752694606781E-6,1.049627150808062E-6,-1.9073486328125E-6,-1.8174414123807636E-5,-3.262566668646676E-5,4.574571337018694E-5,-1.2890143053872244E-5,-3.824404307774135E-5,3.277574266706194E-5,8.971989154815674E-6,-3.858634403773717E-5,3.168582916259766E-5,2.0201717104230608E-7,-1.9951803343636648E-5,-4.4039317539760045E-6,-1.8506390707833425E-5,-5.470854895455497E-7,-4.369871956961496E-6,5.130256925310408E-7,2.128418002809797E-6,1.1423655918666294E-5,1.2451623167310443E-5,9.007432631083897E-6,1.5367780412946428E-5,3.698063748223441E-5,-9.108547653470721E-6,2.4172919137137276E-4,-4.516515348638807E-6,-9.227277977125986E-7,-9.162085396902902E-7,-3.657064267567226E-6,-5.415933472769601E-6,3.1675611223493305E-6,-2.2398574011666435E-6,-7.055486951555524E-6,9.785379682268416E-6,1.9541276352746146E-5,-7.64812741960798E-6,8.65800040108817E-6,-3.783830574580601E-8,-2.7907746178763252E-6,-2.537454877580915E-6,4.582798906735012E-6,-5.928959165300642E-6,-3.7261417933872767E-6,-6.70267002923148E-5,-1.065544251884733E-4,2.284935542515346E-4,9.735609803880964E-5,-1.6807339021137783E-5,-9.341921125139509E-5,0.0,0.0
95,free_gestures,free_gestures,4.793899623971237E-6,-4.15852195338199E-6,1.606188322368421E-6,3.0013762022319592E-5,-1.3690559487593801E-5,-5.528048465126439E-5,-2.615655723371004E-5,-1.250891309035452E-4,4.289024754574424E-5,-2.2733525225990698E-5,-1.2820361084059666E-4,3.152395549573396E-5,3.657842937268709E-7,-1.0058875930936712E-4,6.361258657355057E-5,-1.0310003631993344E-4,-9.825621780596282E-5,1.0172191419099506E-4,-8.00239412408126E-6,2.483592221611424E-7,-2.1106318423622534E-6,-1.6413001637709767E-5,-3.1437685615138004E-5,3.4088837473016035E-5,-9.490157428540682E-6,-2.8688656656365646E-5,2.434128209164268E-5,3.470558869211297E-6,-2.8989816966809723E-5,2.3824290225380347E-5,-1.5969339169953998E-6,-2.3309494319715E-5,-7.764916670949835E-6,-1.5397448288766963E-5,1.974325431020636E-6,-8.141367059004935E-6,-4.1172692650242854E-6,3.909319639205933E-6,3.566240009508635E-6,5.900859832763672E-7,3.2153568769756117E-6,-1.582848398309005E-5,5.014758361013312E-5,-3.041405426828485E-6,8.069590518349096E-5,-7.919869140574806E-6,-2.3941460408662494E-6,-1.6789687307257402E-6,-5.342458423815276E-6,-3.50977245130037E-6,-4.888835706208882E-6,-8.799370966459575E-6,-3.7792481874164782E-6,7.55410445363898E-7,4.16573725248638E-6,-4.27396673905222E-6,2.0830254805715462E-7,-1.549054133264642E-6,-4.089819757561935E-6,-3.902535689504523E-6,3.91578988025063E-6,-7.694645931846218E-6,-6.113554302014803E-6,-1.5463797669661674E-5,-1.4177701975169935E-4,5.014319168893915E-5,5.9211410974201406E-5,-1.7278915957400672E-5,-7.70418267501028E-5,0.0,0.0
71,free_gestures,free_gestures,6.434625722992588E-6,-6.545597398784799E-6,4.74150751678037E-6,3.917893053780139E-5,-2.6578214806570133E-5,-7.088419417260399E-5,-3.383277167736645E-5,-1.740533281380022E-4,5.842262590435189E-5,-2.4442101868105606E-5,-1.7614164192911606E-4,5.077644133232009E-5,6.715386686190753E-6,-1.2259059388872604E-4,7.677749848701584E-5,-2.2324415999399106E-4,-1.4329124504411725E-4,2.6472857300664337E-4,-4.697433659728145E-6,-1.8964351063043299E-6,9.939704142825704E-7,-1.990039583662866E-5,-5.7968665176713974E-5,5.5477652751224144E-5,-5.878822904237559E-6,-2.374279666954363E-5,2.6279771831673637E-5,1.3743487881942534E-5,-2.4245658390958546E-5,2.5305949466329224E-5,-5.122011815997916E-7,-2.2823122185720524E-5,-4.4997309295224475E-6,-5.276690066700251E-6,7.72929527390171E-6,-4.674347353653169E-6,-9.866037838895556E-6,8.794518423752047E-6,2.642752419055348E-6,2.1314117270456234E-5,-7.29600728397638E-6,-3.082987288354148E-5,-5.5283308029174805E-5,-5.709978056625581E-6,1.5024064292370434E-4,-5.1634359947392636E-6,-3.2144270732369223E-6,-1.9745087959397006E-6,-5.508392629489093E-6,-3.243416128024249E-6,-6.857052655287192E-6,-5.057160283478213E-6,-6.1401179139043245E-6,-1.9039906246561399E-6,1.4567983822083809E-5,-6.765546933026381E-6,-2.8979610389387102E-6,-3.5799515079444563E-7,-5.276270315680705E-6,-2.474852011237346E-6,4.568832441115044E-6,-9.325608401231363E-6,-4.1605721057300835E-6,-1.236166752560038E-7,-1.7663002224035666E-4,-1.0215060811647226E-5,5.192865788097113E-5,-4.106959406758698E-5,3.444644766794124E-5,0.0,0.0
78,free_gestures,free_gestures,5.8352851714843355E-6,-6.033059878227038E-6,4.2945910722781454E-6,2.8686072581853623E-5,-2.0499030749003094E-5,-5.527948721861228E-5,-1.2280085147955479E-6,-7.654879337702043E-5,2.0241126036032652E-5,-2.3415073370322203E-5,-7.455421086305227E-5,2.1696090698242188E-5,-6.928848914611034E-5,-2.6314017864374015E-5,6.435161981827173E-5,3.06245608207507E-5,-5.269814760257036E-5,2.3249173775697366E-4,-1.0970502327650021E-5,-1.1197362954799946E-5,3.1055548252203525E-6,-1.794930834036607E-5,-6.5450484936053936E-6,3.5976752256735776E-6,-4.36565814874111E-6,-3.7902440780248395E-7,1.050264407426883E-5,9.416769712399213E-6,-9.078245896559495E-7,9.827124766814402E-6,9.531967150859343E-7,-2.358051446767954E-5,-6.929422036195413E-6,-3.941739216828958E-6,-2.5354898892916167E-6,-7.559091616899539E-6,-1.0033639577718881E-5,-7.20557111960191E-7,4.319044259878306E-6,-7.966007941808455E-6,-2.5249444521390476E-5,3.926264934050731E-5,2.054449839469714E-5,-1.3116842661148464E-4,4.4442140139066254E-4,-1.1723822890183865E-5,-2.874586826715714E-6,-5.832085242638221E-6,8.124953661209498E-6,9.76408139253274E-7,-2.2374666654146633E-5,-4.946994475829296E-6,3.993893281007425E-6,-8.479142800355568E-6,8.842597405115763E-6,3.448663613735101E-6,-9.160775404710035E-6,-2.6588065501971123E-6,-5.592902501424153E-6,-4.2945910722781454E-6,3.531240882017674E-6,-7.914426999214367E-6,-6.315035697741386E-6,-8.46626666875986E-5,3.1021471397999005E-5,8.483116443340595E-5,3.1153552043132295E-5,-1.320316432378231E-4,9.232606643285506E-5,0.0,0.0
