
Delta Timestamp,Old Label,New label,head.x,head.y,head.z,leftShoulder.x,leftShoulder.y,leftShoulder.z,leftElbow.x,leftElbow.y,leftElbow.z,leftWrist.x,leftWrist.y,leftWrist.z,leftHand.x,leftHand.y,leftHand.z,leftFingerTip.x,leftFingerTip.y,leftFingerTip.z,leftHip.x,leftHip.y,leftHip.z,leftKnee.x,leftKnee.y,leftKnee.z,leftAnkle.x,leftAnkle.y,leftAnkle.z,leftFoot.x,leftFoot.y,leftFoot.z,rightShoulder.x,rightShoulder.y,rightShoulder.z,rightElbow.x,rightElbow.y,rightElbow.z,rightWrist.x,rightWrist.y,rightWrist.z,rightHand.x,rightHand.y,rightHand.z,rightFingerTip.x,rightFingerTip.y,rightFingerTip.z,	rightHip.x,rightHip.y,rightHip.z,rightKnee.x,rightKnee.y,rightKnee.z,rightAnkle.x,rightAnkle.y,rightAnkle.z,rightFoot.x,rightFoot.y,rightFoot.z,spine.x,spine.y,spine.z,shoulderCenter.x,shoulderCenter.y,shoulderCenter.z,leftThumb.x,leftThumb.y,leftThumb.z,rightThumb.x,rightThumb.y,rightThumb.z,ballX,ballY
72,free_gestures,free_gestures,1.3912603673007753E-4,2.9036568270789253E-6,7.10288683573405E-6,1.0751291281647152E-4,2.8386919034851922E-5,4.956788486904568E-5,1.193806529045105E-4,3.8742682793074185E-5,8.174114757113987E-5,6.838691317372852E-5,-1.2443773448467255E-4,1.4308757252163358E-4,-3.145659963289897E-4,9.770732786920335E-5,1.2079543537563748E-4,-1.1374553044637045E-5,-5.7978969481256274E-5,-5.272030830383301E-5,5.1918129126230873E-5,1.3610968987147013E-5,3.0143393410576715E-5,5.0309140028225054E-5,-5.414088567097982E-7,4.5130650202433266E-5,1.1087446990940305E-5,3.154079119364421E-7,1.1444091796875E-5,-4.426519282990032E-5,-2.106858624352349E-6,7.440646489461263E-6,2.772675620185004E-4,-4.03931157456504E-5,-1.0944075054592556E-4,9.73372823662228E-5,-2.122238381869263E-5,-1.1357996198866102E-5,1.5394451717535654E-4,-7.301579333013958E-5,-2.883209122551812E-5,2.4974760082032946E-5,-2.8806842035717436E-6,-1.5768739912245008E-5,3.8686622348096636E-5,2.0587195952733357E-5,-5.333291159735786E-5,5.921245449119144E-5,-5.844773517714606E-6,-6.37107425265842E-6,6.674043834209442E-5,-5.002088016933865E-4,4.202789730495877E-4,1.3650498456425137E-5,2.7672284179263646E-5,-1.2268622716267904E-5,-4.53351272477044E-5,2.436008718278673E-5,8.524457613627116E-5,1.0515697714355256E-4,1.3053520686096615E-6,8.573134740193685E-6,1.4251905182997385E-4,-7.742395003636678E-7,5.056460698445638E-6,-3.075357526540756E-4,1.3960949662658904E-4,9.703305032518174E-5,-1.3426256676514944E-5,-3.776616520351834E-6,-6.538960668775771E-5,0.0,0.0
67,free_gestures,free_gestures,1.274652000683457E-4,1.060873714845572E-6,4.732786719478778E-7,1.1970936807233895E-4,3.1061581711270915E-5,4.599699333532533E-5,9.720205371059589E-5,4.990316871831666E-5,6.789591775011661E-5,1.1658568435640478E-4,8.881169913420036E-5,6.74582239407212E-5,-3.1463012321671443E-4,1.4382011410015732E-4,7.128003817885669E-5,-3.773040735899513E-5,-9.78783885044838E-5,-9.653817361860132E-5,6.150031712517809E-5,1.8983412144789055E-5,3.662749902525944E-5,3.2628636195588466E-5,6.993315113124563E-6,3.5229013926947294E-5,2.704143746575313E-6,-1.2374635952622143E-6,8.49410669127507E-6,-6.190873682498932E-5,-3.748865269902927E-6,4.099376166044776E-6,3.4942555783399893E-4,-5.1324714475603245E-5,-1.3678821165170242E-4,8.967874655083044E-5,-1.5466543498323926E-5,-2.3582088413523206E-5,-2.3649855336146567E-4,-1.4417006898282178E-4,-3.572649030543085E-4,-7.396069035601261E-5,-8.053377048293156E-5,-6.078606221213269E-5,-2.7443824419334752E-5,-7.133541712120397E-5,1.2104902694474406E-4,6.819683224407595E-5,-4.861337035449583E-6,-5.732721357203242E-6,3.9107763945166745E-6,-7.16501207494024E-6,7.707681228865438E-6,1.5875296806221578E-5,-1.1759907452028189E-5,-6.369690396892491E-7,-4.054895087854186E-5,-4.5606449468811945E-5,-2.315507006289354E-5,9.717636588794081E-5,4.947908333878019E-6,8.437170911191115E-6,1.0792510723000142E-4,3.18595722540101E-6,3.5584862552472016E-6,-2.989182943728433E-4,1.8938730901746608E-4,1.1292144433775944E-4,-8.26432856161203E-5,-8.854336703001563E-5,-1.297744352426102E-4,0.0,0.0
73,free_gestures,free_gestures,1.5430029940931763E-4,3.871852404450717E-6,1.45663953807256E-6,1.5794302094472598E-4,4.616604275899391E-5,6.972600335944189E-5,1.6469743153820298E-4,5.119034943923558E-5,9.993331073081657E-5,1.4686125190290687E-4,6.967782974243164E-5,4.370898416597549E-5,-2.667593629392859E-4,1.2490163518957896E-4,5.345801784567637E-5,-4.082836516915935E-5,-1.0066265112733188E-4,-1.3512454620779376E-4,7.431561203852092E-5,2.108942972470636E-5,4.4505890101602635E-5,4.701159435184035E-5,5.035367730545671E-6,5.532617438329409E-5,4.1600776045289756E-7,1.6656640457780394E-7,1.199931314546768E-5,-7.065417474671585E-5,-2.4682854952877516E-6,7.3877099442155395E-6,3.5421244085651554E-4,-4.8734757998218274E-5,-1.3512454620779376E-4,1.25945022661392E-4,-3.448835484785576E-5,-3.205260185346211E-5,-2.1210639444116044E-4,-1.144811306914238E-4,-3.2829585140698575E-4,-5.6813840996729186E-5,-6.738713342849522E-5,-5.68807941593536E-5,5.158230866471382E-5,-3.557764504053821E-5,5.84288819195473E-6,8.129134570082573E-5,-7.233391069386104E-6,-2.972067218937286E-7,1.6696240803966784E-5,-2.1794887438212354E-5,2.736261446182042E-5,1.4620080386122613E-5,-1.1013795251715674E-5,-4.0171897574646834E-7,-3.36431477167835E-5,-3.663970999521752E-5,-8.870477545751285E-6,1.1741716976035132E-4,9.012191671214691E-6,1.494851830887468E-5,1.302154300964042E-4,1.0356307029724121E-5,9.686979528975814E-6,-3.114924447177208E-4,1.8023148383179756E-4,1.6337878083529537E-4,-1.0116112558809045E-4,-5.1968514102779026E-5,-1.159988037527424E-4,0.0,0.0
70,free_gestures,free_gestures,9.584629109927586E-5,8.376581328255789E-6,9.298324584960937E-7,1.1575711624962943E-4,3.856910126549857E-5,4.8535210745675226E-5,1.4074019023350306E-4,2.5524465101105827E-5,8.008480072021484E-5,5.7865519608770096E-5,2.1475872823170253E-5,-9.748595101492746E-5,4.4874314750943866E-5,-4.241296223231724E-6,-1.8933841160365513E-5,-7.248137678418841E-6,-4.1859490530831476E-5,-1.1893681117466518E-5,3.8801027195794245E-5,1.2917603765215192E-5,3.369195120675223E-5,3.977278247475624E-5,1.4373234340122768E-6,4.839215959821428E-5,-2.695167703287942E-6,-2.165351595197405E-6,9.894371032714844E-6,-2.7330352791718074E-5,-3.049203327723912E-6,8.821487426757812E-6,9.046750409262521E-5,-7.877605301993234E-6,-2.764974321637835E-5,8.807224886757987E-5,-3.4753685551030295E-5,-2.471378871372768E-5,1.1335526193891252E-5,2.595580049923488E-5,6.365776062011719E-6,3.827874149594988E-5,-1.562439969607762E-5,1.3443401881626674E-5,1.0670647025108337E-4,1.1179915496281216E-5,-4.9264090401785715E-5,3.6533176898956296E-5,-5.368036883217948E-6,4.710469927106585E-6,1.4767689364297049E-5,-1.621927533830915E-5,2.2142274039132253E-5,7.272192410060337E-6,2.9793807438441686E-6,-6.062643868582589E-6,-9.271928242274693E-6,1.556532723563058E-6,1.3443401881626674E-5,6.889370935303824E-5,8.984868015561784E-6,1.3412748064313617E-5,8.80039163998195E-5,1.3472139835357666E-5,8.93047877720424E-6,1.1883314166750227E-4,2.581125923565456E-5,1.3253348214285713E-4,1.190985952104841E-5,-2.3264544350760322E-5,-2.7179718017578126E-6,0.0,0.0
69,free_gestures,free_gestures,1.4488161474034405E-4,-3.887259441873302E-8,3.942544909491056E-6,1.4771823433862215E-4,5.308139151421146E-5,6.52817712313887E-5,1.6351368116295856E-4,3.109950626241988E-5,9.507027225217958E-5,2.1605641729589823E-4,1.2105940908625506E-4,1.1903652246447577E-4,-1.755320075629414E-4,1.0519247987995977E-5,2.8979951056881227E-5,-3.088773160740949E-4,-1.329980466676795E-4,-1.8779436747233072E-4,6.0729088558666945E-5,1.8519551857658055E-5,4.86201134280882E-5,4.8999607131101086E-5,1.394316770028377E-5,5.4829362509907156E-5,-1.52388668578604E-6,-1.6369681427444236E-6,1.3503475465636322E-5,-3.435002450925717E-5,-2.5526337001634682E-6,1.1889830879543139E-5,1.1866550514663476E-4,-1.2869204300037328E-5,-3.492659416751585E-5,1.4720230862714243E-4,-3.511428940987241E-5,-2.5700831758803215E-5,-2.7117953784223914E-5,1.3368004474087039E-4,2.7673831884411797E-5,1.0904173056284587E-4,1.3025990430859553E-5,2.757708231608073E-5,1.607167979945307E-4,8.915256762850112E-5,-1.5400803607443103E-4,5.443307800569396E-5,-7.510185241699219E-6,3.154726995938066E-6,-5.0817278848178145E-6,5.232117314269577E-4,-4.065209540767946E-4,1.925100450930388E-5,-4.450048225513403E-5,2.5610992873924367E-5,3.0546516611956165E-5,-3.6226666491964586E-5,3.354791281879812E-5,1.0350432948789735E-4,1.133676024450772E-5,2.2238579349241395E-5,1.317350112873575E-4,1.6133422436921492E-5,2.088063005088032E-5,-4.2585899000582487E-5,-4.324057827825131E-5,-1.934991366621377E-5,2.3499498332756153E-4,7.326350263927294E-5,2.6136204816293024E-5,0.0,0.0
89,free_gestures,free_gestures,6.75431965442186E-5,-4.241305790590437E-6,3.1637341788645542E-6,6.290868426976578E-5,2.530083227693365E-5,3.500199050046085E-5,7.798882682671708E-5,8.455467190635338E-6,4.157323515817021E-5,1.5468468491950733E-4,6.725714447792996E-5,1.5402911754136675E-4,-1.533272561062588E-4,5.669556976704115E-6,2.754672189776817E-5,-2.3885054534740662E-4,-7.906991444276959E-5,-1.743964934616946E-4,3.1221950991769855E-5,7.20513000916899E-6,2.0126278480786957E-5,2.0703436869583774E-5,8.544895086395607E-6,2.330608582228757E-5,-7.561292876018567E-7,1.5021709913618109E-6,6.134590406096384E-6,-1.6481981853420816E-5,1.216872354571739E-6,5.253245321552406E-6,4.8327981755974585E-5,-5.117125725478268E-6,-1.3188029942887553E-5,8.064508438110352E-5,-1.6533926631627457E-5,-9.025080820147911E-6,-2.58762849850601E-5,9.78571812758285E-5,1.612406098440792E-5,6.350925129451108E-5,2.77416089947304E-5,9.911783625570577E-6,1.0364326868164406E-4,8.48453701212165E-5,-1.6698676548647078E-4,2.8804949160372275E-5,-3.873799624068014E-6,2.812803461310569E-6,-4.804201340407468E-6,4.059099749232946E-4,-3.1594212135572115E-4,9.245919377616283E-6,-3.702453013216512E-5,2.4774101343047754E-5,3.3905332008104645E-5,-2.5029932515005048E-5,2.5591153777047488E-5,4.921208941534664E-5,5.38961606079273E-6,1.2601359506671349E-5,5.8473998241210254E-5,8.007950997084714E-6,1.443102118674289E-5,-1.5694572684470188E-4,-4.856673519263107E-5,-7.024239958002327E-5,1.5205956911772825E-4,9.912813312551948E-5,2.495090613204442E-5,0.0,0.0
77,free_gestures,free_gestures,1.0047195019660058E-4,-8.770010688088156E-6,6.068836558948863E-6,9.82899944503586E-5,2.200204830665093E-5,2.249185141030844E-5,4.988154033561806E-5,1.8865716728297148E-5,1.9023944805194805E-5,5.580291345522001E-5,7.488955925037334E-5,-2.5829711517730316E-5,3.3801571502313987E-4,-4.614860593498527E-5,-8.218938654119319E-5,1.9611689177426425E-4,9.088508494488604E-5,-4.834943003468699E-5,4.1702738055935156E-5,8.565845427575049E-6,2.8334654770888293E-5,1.9189526701902415E-5,1.873443653057148E-5,1.3729194542030236E-5,3.401141662102241E-7,4.062172654387239E-5,-5.734431279170049E-6,-1.2134782389386908E-5,3.9868540578074266E-5,-6.356796660980621E-6,9.188907487051827E-5,-6.525160430313705E-6,-1.4432064898602375E-5,8.526134800601315E-5,-6.2463442226508994E-6,-6.709780011858259E-6,-3.543979935831838E-5,1.239152504252149E-4,2.5972143396154625E-5,1.0063799170704631E-4,5.042823878201571E-5,8.298205090807629E-6,4.820864308964122E-5,2.802656842516614E-5,-7.050997251039975E-5,3.454553616511357E-5,-5.10006755977482E-6,1.0001194941533076E-6,6.970143937445306E-5,7.95218851659205E-6,2.46623893836876E-5,1.601681306764677E-5,-1.961612082146979E-5,5.239016049868101E-6,-4.193198371243167E-4,1.88861574445452E-5,-0.0013706591222193334,6.809308157338725E-5,1.4448320710813845E-6,1.396451677594866E-5,8.833147101588063E-5,7.680871269919656E-7,1.4252476877980418E-5,3.116123087994464E-4,-8.678716885579097E-5,-1.2959443129502334E-4,7.826825240989784E-5,2.8456573362474317E-5,3.836681316425274E-5,0.0,0.0
87,free_gestures,free_gestures,1.2015885320203058E-4,-5.5456298521195335E-6,1.060003521798671E-5,1.0854194219084992E-4,2.1385735478894464E-5,1.8399337242389547E-5,5.927031067596085E-5,2.0103978699651257E-5,2.403916983768858E-5,1.0682625332097898E-4,3.840534508913413E-5,1.062853582974138E-4,8.993792807918855E-5,7.878860522960795E-6,2.2526445059940734E-6,1.2470661908730693E-4,2.181255954435502E-5,-2.6121906850529812E-5,5.114737940930772E-5,1.1119691804907788E-5,3.33813415176567E-5,2.6325588168083935E-5,1.4662057503886606E-5,2.182763198326374E-5,-1.7821232135268463E-6,2.700227430497093E-5,5.0835225773953846E-6,-1.3702998644319074E-5,2.623220969890726E-5,4.680677392016882E-6,1.142045547222269E-4,-6.052954443569841E-6,-1.646184373175961E-5,1.229513650653006E-4,1.3523017880560339E-6,-1.1246779869342672E-5,6.673272656298232E-4,1.5832843451664365E-4,5.457154635725351E-4,2.777328093846639E-4,6.724003402666114E-5,6.329876252974586E-5,9.480195826497571E-5,2.8912363381221378E-5,-1.7590906428194594E-5,4.2660482998551997E-5,-5.021006211467173E-6,5.072560803643588E-6,6.140271822611491E-5,3.7002837520906295E-6,2.620960104054418E-5,1.5938932868255966E-5,-1.5008038487927668E-5,3.1378077364515985E-6,-3.702890598910978E-4,1.887137862457626E-5,-0.0012144850588392936,7.502743224988039E-5,1.0796918951231858E-6,1.5708221786323637E-5,9.2063141965318E-5,-8.310394725580325E-7,1.4074917497306035E-5,4.470973521813579E-5,-6.284521914076531E-6,-9.939862393784797E-5,5.054473876953125E-4,9.300808111826579E-5,-8.437003212413569E-5,0.0,0.0
82,free_gestures,free_gestures,8.739303888344183E-5,1.2996720104682736E-6,8.722630942740092E-6,8.96779138867448E-5,1.0948537326440579E-5,6.0215228941382435E-6,4.543763835255693E-5,1.6949911851708483E-5,1.3871890742604325E-5,-1.9066126608267063E-5,-4.278686715335381E-5,-7.061842011242378E-5,2.8143305240607843E-4,-4.112902210979927E-6,-3.815860283084032E-5,3.86032207709987E-4,9.932187272281182E-5,1.2015424123624475E-4,3.628764392399206E-5,7.241419175776039E-6,2.3266164267935402E-5,2.0651805509881276E-5,5.050403315846513E-6,1.8332062697992092E-5,-2.9092472864360346E-6,2.817773237460997E-5,2.477227187738186E-6,-8.965047394357076E-6,2.7376704099701672E-5,2.491764905976086E-6,9.854392307560618E-5,-2.3178574515552057E-6,-1.1679602832328982E-5,8.176666934315751E-5,1.3143687349994008E-6,-1.140338618580888E-5,7.405133872497372E-4,7.765313110700467E-5,5.611384787210604E-4,2.3559008429690104E-4,4.70412395349363E-5,5.5429412097465704E-5,5.643614908544029E-5,-3.479948131049552E-5,6.887389392387576E-5,3.064514660253757E-5,-3.590089518849443E-6,6.748408806033251E-6,8.202943860030756E-5,-4.501833421428029E-4,3.887821988361638E-4,6.919772159762499E-6,2.4065738771019912E-5,-2.3397003732076507E-5,-4.2648649797206973E-4,5.183423437723299E-5,-0.0013052922923390458,5.1318872265699434E-5,-7.239329378779342E-7,9.402996156273818E-6,6.195185024563859E-5,-2.9567901681109174E-6,4.986437355599752E-6,1.8471334038711176E-4,5.175164196549392E-5,2.396106719970703E-5,3.486946225166321E-4,1.717077159300083E-5,-1.1382742625911062E-4,0.0,0.0
68,free_gestures,free_gestures,1.3788340284543878E-4,-1.011525883394129E-6,1.0676243725944968E-5,1.4137268504675697E-4,1.8498476813821233E-5,1.1636930353501265E-5,8.297076120096095E-5,3.586876589585753E-5,2.0034172955681296E-5,7.328303421244902E-6,-1.1367285076309653E-5,-1.0434318991268382E-4,3.5545558613889357E-4,-1.292105983285343E-5,-2.5970094344195197E-5,4.5792276368421665E-4,4.066154360771179E-5,1.8755478017470415E-4,6.775201900916941E-5,1.4761791509740493E-5,3.827670041252585E-5,3.1099873868858116E-5,8.823240504545324E-6,2.621903139002183E-5,-2.5768599965993097E-6,2.5857897365794462E-5,1.2208433712230009E-5,-1.2697241104700987E-5,2.477712490979363E-5,1.2275050668155446E-5,1.635249046718373E-4,-2.6287401423734776E-6,-1.7821788787841797E-5,1.335858422167161E-4,-4.8037070561857785E-6,-4.73331002628102E-6,9.078666129532983E-4,1.0309543679742252E-4,6.860950413872214E-4,3.2061820521074184E-4,3.774201168733485E-5,8.443173240212833E-5,1.386303235502804E-4,-4.125167341793285E-5,4.650564754710478E-5,5.851203904432409E-5,-2.4549663066864014E-6,8.176354800953585E-6,1.0068385916597704E-4,1.299074467490701E-5,2.072488560396082E-5,1.1270537095911363E-5,3.334090990178725E-5,-2.776173984303194E-5,6.599023061640123E-5,7.805578848894904E-5,2.212384167839499E-5,8.700360708376941E-5,6.98053661514731E-7,1.4133313122917624E-5,9.900923160945668E-5,-4.0318597765529855E-6,7.513691397274242E-6,2.931375056505203E-4,4.4783906025045056E-5,6.026380202349494E-5,4.603858379756703E-4,4.6440345399519976E-5,-7.475824917063994E-5,0.0,0.0
