
Delta Timestamp,Old Label,New label,head.x,head.y,head.z,leftShoulder.x,leftShoulder.y,leftShoulder.z,leftElbow.x,leftElbow.y,leftElbow.z,leftWrist.x,leftWrist.y,leftWrist.z,leftHand.x,leftHand.y,leftHand.z,leftFingerTip.x,leftFingerTip.y,leftFingerTip.z,leftHip.x,leftHip.y,leftHip.z,leftKnee.x,leftKnee.y,leftKnee.z,leftAnkle.x,leftAnkle.y,leftAnkle.z,leftFoot.x,leftFoot.y,leftFoot.z,rightShoulder.x,rightShoulder.y,rightShoulder.z,rightElbow.x,rightElbow.y,rightElbow.z,rightWrist.x,rightWrist.y,rightWrist.z,rightHand.x,rightHand.y,rightHand.z,rightFingerTip.x,rightFingerTip.y,rightFingerTip.z,	rightHip.x,rightHip.y,rightHip.z,rightKnee.x,rightKnee.y,rightKnee.z,rightAnkle.x,rightAnkle.y,rightAnkle.z,rightFoot.x,rightFoot.y,rightFoot.z,spine.x,spine.y,spine.z,shoulderCenter.x,shoulderCenter.y,shoulderCenter.z,leftThumb.x,leftThumb.y,leftThumb.z,rightThumb.x,rightThumb.y,rightThumb.z,ballX,ballY
69,free_gestures,free_gestures,-6.403525670369466E-5,5.2011531332264774E-5,1.4321700386379075E-4,-1.0388657666634822E-4,9.70177892325581E-5,2.21221343330715E-4,-8.74702481256015E-5,6.471455529116201E-5,1.7171666242074275E-4,-1.8485732700513756E-4,1.2135073758553767E-4,4.484826239986696E-4,-2.1441950314286825E-4,1.0622735472692959E-4,4.2042524918265963E-4,-2.3237691409345987E-4,1.427691051925438E-4,3.7302832672561425E-4,-3.2362730606742524E-5,1.0268087836279385E-4,1.216038413669752E-4,1.2868556423463684E-5,1.0592825170876323E-4,2.192759859389153E-5,2.583965011264967E-4,1.9881949908491495E-4,-1.3994825059089106E-4,2.3910100909246915E-4,1.970365427542424E-4,-1.416137253028759E-4,-1.0851155156674592E-4,1.0622195575548255E-4,1.5595684880795687E-4,-6.963291029999222E-5,1.4303851386775142E-4,2.0126674486243206E-4,-9.014813796333645E-5,1.4416938242704973E-4,2.1706111189247906E-4,-9.171772694242173E-5,2.3000223049219105E-4,2.6305516560872394E-4,-8.652866750523664E-5,1.471837361653646E-4,3.481187682220901E-4,-2.5546205216559812E-5,7.836261521215025E-5,1.574875651926234E-4,1.9059578577677408E-4,8.551236512004465E-5,1.1828325796818388E-4,3.2346836034802425E-4,9.908192399619281E-6,2.0813941955566406E-4,3.027414930039558E-4,-1.0157581688701242E-4,9.029118911079738E-4,-5.414866018986356E-5,8.923506391221198E-5,1.4244991800059444E-4,-7.168020027271216E-5,8.581729902737382E-5,1.4226678488911062E-4,-3.578783809274867E-4,2.040804728217747E-4,6.796553515005803E-4,-2.7863011843916297E-5,4.912478768307229E-4,1.3043223947718525E-4,0.0,0.0
70,free_gestures,free_gestures,-3.751260893685477E-5,1.1674846921648298E-5,8.942059108189175E-5,-3.489766802106585E-5,3.2550948006766186E-5,1.106330326625279E-4,-6.25814710344587E-5,4.436959113393511E-5,1.2146404811314174E-4,-1.0994843074253627E-4,7.35184976032802E-5,2.4673257555280414E-4,-1.2737001691545758E-4,3.439294440405709E-5,2.305541719709124E-4,-7.858787264142718E-5,3.581664391926357E-5,1.534700393676758E-4,-1.636573246547154E-6,4.48637775012425E-5,4.875319344656808E-5,1.1313813073294503E-5,7.08367143358503E-5,1.0946818760463169E-5,2.10813113621303E-4,2.98985413142613E-5,-4.276207515171596E-5,2.066237585885184E-4,3.1305210930960516E-5,-4.518372671944754E-5,-5.716681480407715E-5,6.556766373770578E-5,8.918557848249163E-5,-3.2894100461687364E-5,9.827592543193272E-5,1.0525499071393695E-4,-2.6200498853410992E-5,9.911422218595232E-5,1.3769694737025668E-4,-4.201361111232213E-5,1.9993952342442105E-4,1.7039435250418527E-4,-2.037210123879569E-4,-1.2529832976205008E-4,1.514366694859096E-4,-3.6512102399553573E-6,4.42515526499067E-5,8.733953748430524E-5,1.5291741916111538E-4,6.319199289594378E-5,9.246213095528738E-5,2.526589802333287E-4,2.127800668988909E-5,1.76065308707101E-4,2.477220126560756E-4,-8.69018690926688E-5,8.599724088396345E-4,-1.6946452004568916E-5,4.48752726827349E-5,8.232934134347098E-5,-2.8824806213378908E-5,4.32248626436506E-5,9.541511535644531E-5,-2.0563091550554547E-4,9.374171495437622E-5,3.8735525948660715E-4,-3.746747970581055E-5,2.3440207753862654E-4,2.1558148520333425E-4,0.0,0.0
68,free_gestures,free_gestures,-3.827582387363209E-5,1.2313618379480699E-5,9.502382839427275E-5,-3.606431624468635E-5,9.104740970274982E-5,1.1112760095035329E-4,-2.3431637707878562E-5,7.990813430617837E-5,1.1870440314797794E-4,-9.359506999745088E-5,1.0350916315527523E-4,2.1915576037238627E-4,-1.1188493055455824E-4,7.748450426494374E-5,1.5570486293119544E-4,-2.6289855732637295E-4,7.474532022195704E-5,1.2718579348395853E-4,4.967345910913804E-6,2.9146671295166016E-5,4.8504156224867876E-5,2.5865786215838263E-5,7.05263193915872E-5,4.600076114430147E-5,6.74742109635297E-5,1.9954758531907026E-4,5.974489099839154E-6,5.775777732624727E-5,1.9992625012117273E-4,2.370161168715533E-6,-4.001925973331227E-5,5.45882126864265E-5,9.409820332246668E-5,-1.4582101036520566E-5,9.045289719805998E-5,1.0608925538904527E-4,-1.2728221276227165E-5,9.212730561985689E-5,1.517148578868193E-4,4.041457877439611E-5,5.018382388002732E-5,1.8121565089506263E-4,9.949768290800207E-5,-3.981239655438592E-6,2.3843610987943763E-4,4.742951954112334E-6,2.9133851913844838E-5,6.804396124447093E-5,2.2502857096054976E-4,7.140285828534295E-6,1.2409336426678826E-4,2.969932906767901E-4,5.013451856725356E-5,2.654931124518899E-4,1.9912509357228E-4,5.477929816526525E-5,2.3192517897661994E-4,-1.2783443226533777E-5,3.44808487331166E-5,8.01542226006003E-5,-2.8569908703074735E-5,3.7853770396288706E-5,9.891215492697323E-5,1.9050345701329848E-4,1.4484586084590238E-5,5.894198137171128E-5,5.372043918160831E-5,2.196985570823445E-4,1.2864084804759305E-5,0.0,0.0
84,free_gestures,free_gestures,-2.5666185787745883E-5,4.106830982934861E-5,1.1595657893589564E-4,-5.212710017249698E-5,9.497503439585368E-5,1.5992210024879094E-4,-2.474160421462286E-5,8.171681492101579E-5,1.6470750172932944E-4,-9.634381248837425E-5,9.501689956301735E-5,2.1633647737048922E-4,-1.1305723871503557E-4,7.667552147592817E-5,1.7705985477992466E-4,-1.9532867840358188E-4,7.623132495653062E-5,2.6719626926240467E-4,2.044084526243664E-5,3.922686335586366E-5,4.9812453133719305E-5,3.344033445630755E-5,1.0608597880318051E-4,4.886161713373094E-5,1.4617258594149635E-4,1.8867282640366327E-4,4.036937441144671E-5,-3.182086206617809E-4,3.2287977990649993E-4,0.0015337751025245303,-3.055589539664132E-5,6.898244222005208E-5,1.3045186088198708E-4,-2.2016110874357676E-5,8.329607191539945E-5,1.3003462836855934E-4,2.1693252381824312E-5,8.443264024598258E-5,1.8911418460664295E-4,8.094878423781622E-5,3.5485696224939256E-5,2.0719426018851145E-4,7.109556879316057E-5,-5.734463532765706E-6,2.4441878000895184E-4,1.9176375298272996E-5,4.4349669700577144E-5,7.964883531842913E-5,2.158000355675107E-4,9.277214606602986E-5,1.1655830201648531E-4,4.06151016553243E-4,3.504263503210885E-4,4.179307392665318E-4,5.214703934533256E-4,3.595146394911266E-4,4.1406211398896717E-4,-3.072477522350493E-7,4.699843980017162E-5,8.709941591535295E-5,-1.72072932833717E-5,5.0899883111317955E-5,1.0513691675095331E-4,-1.8584586325145902E-4,-3.8745147841317316E-5,2.820293108622233E-4,1.1128754842849005E-4,9.577011778241112E-5,5.2247728620256695E-5,0.0,0.0
82,free_gestures,free_gestures,3.4890523770960364E-8,4.6799095665536274E-5,6.605357658572314E-5,-4.700771192225014E-5,6.963966823205715E-5,1.3029284593535633E-4,-1.2070667452928496E-5,6.688122705715458E-5,1.3840780025575219E-4,-3.427848583314477E-5,5.35040730383338E-5,7.534317853974133E-5,-5.913653024813024E-5,1.9619377647958152E-5,9.82371772207865E-5,-1.0633759382294445E-4,-6.0495080017462E-7,2.871112125675853E-4,2.040005311733339E-5,3.190856517815008E-5,4.39562448641149E-5,3.006036688641804E-5,7.076198008002305E-5,4.234546568335557E-5,1.2920687838298517E-4,5.507323800063715E-5,4.254608619503858E-5,-3.4752633513473883E-4,1.9214066063485494E-4,0.0015746064302397938,-7.313199159575671E-6,4.636187378953143E-5,9.445737047893245E-5,-1.6386915997761052E-5,5.050312455107526E-5,8.478397276343369E-5,2.7598404302829648E-5,5.0404631510013486E-5,1.1320521191852849E-4,7.91782286108994E-5,-2.3990869522094727E-6,1.2347756362542873E-4,3.550183482286407E-5,-1.4055792878313762E-5,1.0376732523848371E-4,1.9642637997138792E-5,3.4927231509511065E-5,5.1809520256228565E-5,1.0921824269178438E-4,6.189615261263964E-5,7.612821532458794E-5,3.201605343237156E-4,3.5574668791235945E-4,3.128022682376024E-4,4.532068240933302E-4,3.4628699465495786E-4,3.872179403537657E-4,3.31823418780071E-6,3.892146959537413E-5,5.5946954866734946E-5,-9.61524684254716E-6,4.430842108842803E-5,5.912199252989234E-5,-6.229848396487353E-5,-9.785410834521782E-5,5.1134970129989995E-5,1.3373683138591486E-4,-7.145833678361846E-5,7.791635466784966E-5,0.0,0.0
96,free_gestures,free_gestures,2.185565729935964E-5,9.34960941473643E-5,8.975466092427571E-5,-2.775465448697408E-5,5.665359397729238E-5,1.4580537875493368E-4,-1.2887020905812582E-5,5.8570411056280136E-5,1.5479822953542074E-4,-4.756202300389608E-5,4.6800666799147926E-5,9.493529796600342E-5,-5.958105127016703E-5,1.1666522671778997E-5,7.704397042592366E-5,-1.2363369266192117E-4,2.6751309633255005E-5,9.500980377197266E-5,4.351697862148285E-5,3.264402039349079E-5,5.511691172917684E-5,3.147684037685394E-5,6.723341842492421E-5,5.914270877838135E-5,1.5802308917045593E-4,1.0391200582186381E-4,8.876373370488484E-5,-3.178784002860387E-4,3.1596794724464417E-4,0.0014689887563387554,-1.1219332615534465E-6,4.680578907330831E-5,1.024852196375529E-4,-1.4601275324821472E-5,3.159441985189915E-5,1.0210275650024414E-4,6.983925898869832E-5,3.2067609330018364E-5,1.460835337638855E-4,9.449695547421773E-5,3.443270300825437E-5,1.2151400248209636E-4,7.350246111551921E-5,-1.0452233254909515E-5,1.5256802241007486E-4,4.362377027670542E-5,4.96842743208011E-5,6.784250338872273E-5,1.731769492228826E-4,4.1555302838484444E-5,9.001046419143677E-5,3.489727775255839E-4,2.7050947149594623E-4,3.827214241027832E-4,4.770606756210327E-4,2.4546124041080475E-4,5.765532453854879E-4,2.2237499554951985E-5,5.703916152318319E-5,6.922334432601929E-5,7.00727105140686E-6,7.282135387261708E-5,7.267296314239502E-5,-7.80572493871053E-5,-5.395632858077685E-5,5.540003379185995E-5,1.276650776465734E-4,-5.855566511551539E-5,1.0221699873606364E-4,0.0,0.0
100,free_gestures,free_gestures,4.0740370750427246E-5,9.104371070861817E-5,8.299827575683594E-5,-6.355047225952149E-6,4.144102334976196E-5,1.2378931045532227E-4,-5.530118942260742E-6,3.120556473731995E-5,1.0613679885864258E-4,-3.921389579772949E-5,2.4746209383010865E-5,6.789445877075195E-5,-6.151199340820313E-6,2.709701657295227E-5,-1.1091232299804688E-5,5.60307502746582E-5,4.068613052368164E-5,-5.493879318237305E-5,6.939589977264404E-5,3.2552406191825864E-5,2.9349327087402342E-5,3.0013322830200197E-5,5.6359767913818356E-5,4.3914318084716796E-5,1.4024853706359863E-4,1.5292465686798096E-4,6.170988082885742E-5,1.246356964111328E-4,1.5240013599395751E-4,5.936622619628906E-5,1.923978328704834E-5,3.399670124053955E-5,7.751941680908203E-5,-4.857182502746582E-6,-2.5995075702667235E-6,6.84499740600586E-5,1.0237157344818115E-4,-2.1667778491973876E-6,1.0738372802734374E-4,1.4550209045410156E-4,-9.354650974273681E-6,6.897926330566406E-5,1.6717374324798584E-4,-5.233585834503174E-6,8.416414260864258E-5,6.442844867706299E-5,4.520334303379059E-5,4.581451416015625E-5,1.8531560897827148E-4,9.130537509918212E-5,5.258083343505859E-5,3.4108459949493407E-4,3.090119361877441E-4,4.5763254165649415E-4,3.9868831634521485E-4,3.344333171844482E-4,3.604412078857422E-4,4.382312297821045E-5,4.842281341552734E-5,4.7521591186523436E-5,3.0216574668884277E-5,5.869269371032715E-5,5.265951156616211E-5,-2.290034294128418E-4,-2.0996928215026854E-5,1.468372344970703E-4,1.8180549144744873E-4,4.015356302261352E-5,-3.249645233154297E-6,0.0,0.0
68,free_gestures,free_gestures,5.334177437950583E-5,9.546998669119442E-5,7.383963640998391E-5,1.8982326283174404E-5,3.466798978693345E-5,9.561987484202666E-5,-1.0010074166690601E-6,2.4854369899805853E-5,7.132572286269245E-5,-3.224961897906135E-5,2.2526830434799194E-5,5.176137475406422E-5,1.8728130003985236E-5,2.261623740196228E-5,-7.932676988489488E-5,6.078797228196088E-5,4.0409757810480456E-5,-2.8367252910838406E-4,8.176968378179213E-5,2.856114331413718E-5,3.013190101174747E-5,2.8694377225988053E-5,2.2360945449155918E-5,5.022217245662914E-5,9.315592401167926E-5,1.9137035397922292E-4,4.685626310460708E-5,6.341268034542308E-4,2.5192604345433854E-5,-0.0018049899269552791,2.6020057061139276E-5,1.9369756474214443E-5,4.69509293051327E-5,5.471355774823357E-6,-1.6265055712531594E-5,4.611997043385225E-5,1.1102066320531508E-4,-1.5358276226941278E-5,7.602046517764821E-5,1.5439268420724308E-4,-7.408287595300114E-6,2.6709893170525046E-5,2.575174850576064E-4,-4.593940342173857E-6,6.0277826645795034E-5,7.580220699310303E-5,4.082447027458864E-5,3.702850902781767E-5,2.309750108157887E-4,2.681200995164759E-5,5.7434334474451404E-5,2.9687232830945184E-4,7.168422727023854E-5,4.2221476049984205E-4,1.41262131578782E-4,1.0248668053570916E-4,2.504972850575167E-4,5.204186720006606E-5,4.763397223809186E-5,4.244551939122817E-5,3.712229868944953E-5,6.129022906808292E-5,4.6477598302504595E-5,8.330800954033347E-5,3.146840369000154E-5,-7.351005778593175E-5,1.836086020750158E-4,1.604436513255624E-4,-5.645611706901999E-5,0.0,0.0
83,free_gestures,free_gestures,7.624008569372706E-5,1.1194829481193819E-4,1.1330340282026543E-4,2.568744751344244E-5,4.1844255952949984E-5,1.1542331741516849E-4,1.764871987951807E-5,3.108032137514597E-5,9.37272267169263E-5,-2.1394476833113703E-5,2.2034329104136273E-5,3.780801612210561E-5,3.567948398819889E-5,-3.5951295530939678E-6,-8.660913949989411E-5,1.1089480066873941E-4,3.6409281822572274E-5,-2.865733870540757E-4,1.0197133903043815E-4,3.0301062457532768E-5,4.2794698692229856E-5,3.4531915044210046E-5,3.125653209456478E-5,5.165352878800358E-5,9.117643517183971E-5,2.0837999251951654E-4,3.540946776608387E-5,5.269294761749635E-4,7.278086191200348E-5,-0.0014832163431558263,3.764715539403709E-5,1.925086400595056E-5,5.410090986504612E-5,8.212514670498399E-6,-1.5085899686238851E-5,4.369379526161286E-5,1.7170518277639365E-4,-1.0785747723407056E-5,9.584426879882812E-5,2.1813504667167203E-4,4.3079795607601304E-5,8.11772174145802E-5,3.3505997025823017E-4,-7.050942225628589E-6,1.8327207450407097E-4,8.985292480652591E-5,4.791279873216009E-5,3.518828426498965E-5,3.1055312558829067E-4,3.805577036846115E-5,9.175381028508565E-5,3.376129161880677E-4,1.0289700634508247E-4,4.891343863613634E-4,1.6476734575018826E-4,2.0078865878553275E-4,-1.706531248896955E-4,7.708819515733833E-5,5.306985722966941E-5,5.754505295351327E-5,6.634499653276191E-5,6.578126585627177E-5,6.974174315670887E-5,7.304369685161545E-5,4.380636186484831E-5,-9.040660168751176E-5,2.3428575102105197E-4,8.93507736274995E-5,3.0488852994987764E-5,0.0,0.0
67,free_gestures,free_gestures,6.317380648940357E-5,6.199416829578912E-5,9.259892933404267E-5,1.4057799951354069E-5,5.589225398960398E-5,9.353481121917269E-5,2.555526904205778E-5,3.64353407674761E-5,6.37040209414354E-5,-3.0780906107888294E-7,2.572118346370868E-5,3.021154830704874E-6,5.719377033746065E-5,2.8418960855967965E-6,-9.745270458619986E-5,1.8437940682937849E-4,6.03341344577163E-6,-1.3975243070232335E-4,8.893724697739331E-5,2.9815889116543443E-5,2.7838037974798856E-5,3.4467497868324394E-5,2.8990542710717046E-5,3.107270198081856E-5,4.4662560989607626E-5,1.7665660203392827E-4,-3.124706780732567E-5,6.829002010288523E-4,-1.2741160036912604E-4,-0.002015106713593896,3.929458447356722E-5,1.3524471823848895E-5,3.578057929651061E-5,1.103931398534063E-5,-2.1483248739100214E-6,1.159710670585063E-5,1.4641836507996517E-4,2.3801824939784717E-6,4.7968394720732274E-5,2.3173307304951682E-4,1.0949017396613732E-6,7.7575000364389E-5,3.532073391017629E-4,-1.0961027287725192E-5,1.3543242838845324E-4,7.284488250960165E-5,3.091201408585506E-5,9.792954174440298E-6,2.702510178978763E-4,6.335528928842117E-5,7.786679623731926E-5,3.100544659059439E-4,1.7526523390812662E-4,4.4039825894939366E-4,7.523618527312777E-5,3.2084646509654484E-4,-5.636037285648175E-4,6.769575289825895E-5,3.1650733591905284E-5,4.057386028232859E-5,6.038039477903452E-5,3.13773973664241E-5,5.462632250429979E-5,1.2608428499591884E-4,1.1816398421330238E-5,-1.2879229303616196E-4,2.7098940379584015E-4,1.071324544166451E-4,-1.3330089512156016E-5,0.0,0.0
