
Delta Timestamp,Old Label,New label,head.x,head.y,head.z,leftShoulder.x,leftShoulder.y,leftShoulder.z,leftElbow.x,leftElbow.y,leftElbow.z,leftWrist.x,leftWrist.y,leftWrist.z,leftHand.x,leftHand.y,leftHand.z,leftFingerTip.x,leftFingerTip.y,leftFingerTip.z,leftHip.x,leftHip.y,leftHip.z,leftKnee.x,leftKnee.y,leftKnee.z,leftAnkle.x,leftAnkle.y,leftAnkle.z,leftFoot.x,leftFoot.y,leftFoot.z,rightShoulder.x,rightShoulder.y,rightShoulder.z,rightElbow.x,rightElbow.y,rightElbow.z,rightWrist.x,rightWrist.y,rightWrist.z,rightHand.x,rightHand.y,rightHand.z,rightFingerTip.x,rightFingerTip.y,rightFingerTip.z,	rightHip.x,rightHip.y,rightHip.z,rightKnee.x,rightKnee.y,rightKnee.z,rightAnkle.x,rightAnkle.y,rightAnkle.z,rightFoot.x,rightFoot.y,rightFoot.z,spine.x,spine.y,spine.z,shoulderCenter.x,shoulderCenter.y,shoulderCenter.z,leftThumb.x,leftThumb.y,leftThumb.z,rightThumb.x,rightThumb.y,rightThumb.z,ballX,ballY
67,free_gestures,free_gestures,3.1020169827475477E-4,6.910046534751779E-5,7.437236273466651E-7,2.780592263634525E-4,1.2217840152000313E-5,-1.8763898023918492E-5,3.759309427062077E-4,-4.630702645031374E-6,-8.802983298230526E-5,6.204665596805402E-4,-4.483247870829568E-5,-1.9794791492063607E-4,5.053281784057617E-4,5.457828293985395E-7,-1.6706025422509038E-4,5.644960189933207E-4,-6.692445100243411E-5,-1.3918663138773904E-4,2.946150836659901E-4,8.75049562596563E-5,5.981459546445021E-5,2.0335814846095753E-4,-8.6939156945072E-4,6.690060914452396E-4,1.4506880916766266E-4,-5.275900684185882E-4,3.3452261739702366E-4,1.6434646364468246E-4,-5.271408095288633E-4,3.364726678648991E-4,3.282761395867191E-4,1.0167062282562256E-4,2.913332697170884E-5,3.917523062051232E-4,1.6224072940313993E-4,3.702249099959188E-5,3.494093222404594E-4,1.6427751797348705E-4,7.066797854295418E-5,4.13511782439787E-4,1.5465848481477197E-4,1.1489640420942164E-4,4.278431410220132E-4,1.596661645974686E-4,9.226443162604945E-5,2.9709935188293457E-4,7.973455671054213E-5,8.308353708751166E-5,3.063618691999521E-4,8.202577704813943E-5,9.68975807303813E-5,1.7567671168206342E-4,-1.270379593123251E-5,1.349769421477816E-4,1.9520646266972842E-4,-1.708251326831419E-5,1.3567440545381005E-4,2.6157920929922987E-4,6.238788143912358E-5,3.17915162043785E-5,2.3212762021306734E-4,4.8400528395353856E-5,3.3841204287400886E-6,4.7862752160029624E-4,-3.15518521550876E-4,-2.4640738074459246E-4,4.7025673869830457E-4,2.7513637471554884E-4,1.937809275157416E-4,0.0,0.0
83,free_gestures,free_gestures,2.50403780535043E-4,5.5779893714261344E-5,6.003552172557417E-7,2.2445744778736528E-4,9.862593857638808E-6,-1.5146761055452278E-5,3.034623272447701E-4,-3.738037074904844E-6,-7.106022662427052E-5,5.008585481758578E-4,-3.619007317416639E-5,-1.5978928071906767E-4,4.079155175082655E-4,4.405716815626765E-7,-1.3485586786844643E-4,4.5567750930786133E-4,-5.4023352014013087E-5,-1.1235547352986163E-4,2.378218145255583E-4,7.063653095659003E-5,4.8284071037568244E-5,1.6415657767330306E-4,-7.017980138939547E-4,5.400410617690489E-4,1.1710373752088432E-4,-4.258859588439206E-4,2.7003632970603117E-4,1.3266521764088827E-4,-4.255233040775161E-4,2.7161046683070174E-4,2.649939921965082E-4,8.207146661827364E-5,2.351726394101798E-5,3.1623378934630427E-4,1.3096540807241416E-4,2.98856252647308E-5,2.820533083145877E-4,1.3260956270148955E-4,5.704523569130036E-5,3.3379866775259915E-4,1.248448009950569E-4,9.274769978350904E-5,3.453673548009022E-4,1.2888714491602886E-4,7.447851709572666E-5,2.3982718766453755E-4,6.436403975429305E-5,6.706743355256966E-5,2.473041594746601E-4,6.621357906295592E-5,7.821852902331984E-5,1.4181132147829216E-4,-1.025487141436841E-5,1.0895729064941406E-4,1.5757630119122654E-4,-1.3789498662374105E-5,1.095203031976539E-4,2.1115430148251085E-4,5.0361301884593733E-5,2.5663031152932042E-5,1.8738012715994594E-4,3.9070306054080825E-5,2.731759864163686E-6,3.8636197526770904E-4,-2.5469567402299626E-4,-1.9890716276973127E-4,3.7960483726248685E-4,2.220980374209852E-4,1.564255679946348E-4,0.0,0.0
72,free_gestures,free_gestures,4.323998259173499E-4,9.127664897176955E-5,-5.039903852674696E-6,4.5215669605467055E-4,3.7897585166825186E-5,-3.780259026421441E-5,6.447144680553012E-4,6.849318742752075E-5,-1.6080008612738716E-4,8.12578946352005E-4,3.691348764631483E-5,-2.3988551563686796E-4,7.70679364601771E-4,-7.284598218070136E-6,-2.129111025068495E-4,8.259721928172641E-4,-1.380427016152276E-5,-2.436273627811008E-4,4.7920230362150405E-4,1.2026685807440017E-4,8.779764175415039E-5,3.9667760332425434E-4,-6.9530473815070254E-6,2.7841991848415797E-5,2.0468359192212424E-4,-1.6123718685574003E-4,1.0705656475490994E-4,2.3103753725687662E-4,-1.647580001089308E-4,1.0896391338772244E-4,4.341108724474907E-4,1.4138739142153E-4,3.1583838992648656E-5,5.333123004270925E-4,2.1123141050338745E-4,6.057487593756782E-5,4.993298401435217E-4,2.1243592103322348E-4,9.909272193908691E-5,6.124105614920458E-4,1.930851075384352E-4,1.3309054904513888E-4,6.286068302061823E-4,1.240107748243544E-4,2.919104364183214E-4,4.7739615870846645E-4,1.2020642558733623E-4,1.08235412173801E-4,3.4338090982702043E-4,4.5661297109391955E-5,1.7118122842576768E-4,2.482267639910181E-4,-8.642425139745076E-5,2.4494859907362197E-4,2.741995267570019E-4,-9.120669629838731E-5,2.467566066318088E-4,3.723692562845018E-4,8.949063097437222E-5,4.475977685716417E-5,2.9746774170133803E-4,6.824317905637954E-5,8.013513353135851E-6,7.017809483740064E-4,-1.2876465916633606E-4,-2.002947860293918E-4,7.543191831145021E-4,3.39556485414505E-4,1.8568833669026694E-4,0.0,0.0
94,free_gestures,free_gestures,2.2604284768408918E-4,4.358779876790148E-5,-4.088624994805519E-6,2.2790787067819148E-4,2.6140916854777233E-5,-8.400450361535903E-6,3.32637036100347E-4,5.8368482488266965E-5,-8.385993064718044E-5,4.654935699828128E-4,4.3042796723386076E-5,-9.914661975617104E-5,4.246200018740715E-4,-3.761877404882553E-5,-8.924463961986785E-5,4.373690549363481E-4,4.37523456329995E-6,-9.800018148219332E-5,2.5965305084877825E-4,5.807648313806412E-5,4.975592836420587E-5,2.718783439473903E-4,2.9813101951112138E-5,-5.02454473617229E-6,5.785613617998488E-5,6.520938366017444E-5,-7.39503414072889E-5,6.664148036469804E-5,6.287402295051738E-5,-7.23473569180103E-5,2.0691498796990577E-4,7.238254902210641E-5,1.0099816829600233E-5,2.9450952214129427E-4,9.767703236417568E-5,4.468826537436627E-5,2.554540938519417E-4,9.905499346712803E-5,5.354272558334026E-5,3.309086202941042E-4,8.550032656243507E-5,6.857324153818982E-5,3.460614763675852E-4,4.528589705203442E-5,1.2421354334405128E-4,2.553440788958935E-4,7.057824033371945E-5,6.551438189567403E-5,1.2206603237923156E-4,1.4262630584392142E-5,8.688835387534283E-5,1.3946100792035143E-4,-5.508166678408359E-5,1.5454343024720536E-4,1.4712415794108778E-4,-5.6867903851448225E-5,1.563721514762716E-4,1.9400170508851396E-4,4.7382363613615645E-5,2.994689535587392E-5,1.5051060534538107E-4,3.5170227923291796E-5,1.077702704896318E-5,3.5740118077460755E-4,1.3690045539368975E-6,-5.782918727144282E-5,3.106657494889929E-4,3.809275779318302E-5,-2.6982895871426196E-4,0.0,0.0
68,free_gestures,free_gestures,3.055800848147448E-4,4.590258878820083E-5,1.669631284825942E-5,4.086915184469784E-4,3.176401643192067E-5,-4.637942594640395E-5,4.93585186846116E-4,5.409647436702953E-5,-8.962785496431239E-5,6.02704198921428E-4,4.70618114751928E-5,-1.0698332506067613E-4,6.828408907441532E-4,5.085371872958015E-5,-1.671314239501953E-4,6.93148111595827E-4,-1.148528912488152E-5,-2.686767017140108E-4,3.866759293219622E-4,6.540777052150053E-5,8.499271729413201E-5,3.642360953723683E-4,0.001166371738209444,-8.19847864263198E-4,1.42783803098342E-4,4.957721513860366E-4,-2.897311659420238E-4,1.671594731947955E-4,4.889255060869105E-4,-2.888160593369428E-4,2.9840944882701426E-4,9.883962133351495E-5,2.1278858184814453E-5,3.440327914979528E-4,7.388433989356545E-5,6.797033197739544E-5,3.991941099657732E-4,6.954065140555886E-5,7.84607494578642E-5,5.174543544211809E-4,5.062362726996927E-5,3.5398146685431985E-5,5.528858643682564E-4,5.8296410476460174E-5,6.995481603285846E-5,3.828035996240728E-4,8.003720465828391E-5,7.326462689568015E-5,1.5392691335257362E-4,-5.8535267325008614E-5,1.9779275445377126E-4,1.3764962718329008E-4,-1.565805252860574E-4,2.185246523688821E-4,1.6144691856906693E-4,-1.581495299058802E-4,2.2121387369492476E-4,3.1541923389715305E-4,5.767376655164887E-5,4.277509801528033E-5,2.585485139313866E-4,4.5009614790187165E-5,1.402111614451689E-5,6.190735627623165E-4,2.0162805038339952E-4,-9.676989387063419E-5,5.259103490971029E-4,1.6983554643743178E-4,-2.9314966762767118E-5,0.0,0.0
83,free_gestures,free_gestures,3.842887390090759E-4,5.7179525674107565E-5,1.3434743306722986E-5,4.3768013816281975E-4,2.1605067942515913E-5,-3.584608974226986E-5,6.299108625894569E-4,1.0250383112803998E-5,-7.628820028649755E-5,7.171638040657503E-4,-7.796000285320971E-6,-1.6940645424716444E-4,8.383091673793563E-4,5.3049211042473116E-5,-2.0595918218773533E-4,8.417791630848344E-4,8.291149713906897E-6,-3.167778612619423E-4,4.858417683337108E-4,7.408318749393325E-5,8.819476667656956E-5,3.1643244157354515E-4,9.81964260698801E-4,-6.8772557270096E-4,1.8965372120041446E-4,4.723905080772308E-4,-3.073014408709055E-4,2.1680902285748217E-4,4.654031202017543E-4,-3.057703914412533E-4,3.7786611411944927E-4,1.1272189846958022E-4,3.562490624117564E-5,4.276662899450545E-4,8.554433483675302E-6,9.824856218085231E-5,6.041725941776601E-4,-9.245901222688606E-7,8.724109236016331E-5,6.403005738035742E-4,3.169135875012501E-5,4.275735602321395E-5,6.347809166434299E-4,2.071347581334861E-4,1.3551080083272545E-4,4.860435623720468E-4,1.2655179184603403E-4,8.75915389463126E-5,1.8542403557214392E-4,-4.245574215808547E-5,2.109889524528779E-4,1.130423295390175E-4,-1.5832717160144485E-4,2.2467360439070737E-4,1.4044903218746185E-4,-1.6035588390855905E-4,2.279453966991011E-4,3.785363521920629E-4,6.891587322734925E-5,4.583956247352692E-5,2.9817564659808055E-4,4.7579946288143296E-5,1.4578003481209997E-5,7.955220090337547E-4,1.0481728128640049E-4,-1.2398627867181617E-4,6.520688892847084E-4,2.4631798985492752E-5,-1.4629708715232022E-5,0.0,0.0
84,free_gestures,free_gestures,2.565082340013413E-4,3.337753670556205E-5,1.818793160574777E-5,2.666921133086795E-4,-1.3905976499829973E-6,-1.7983572823660715E-5,3.6964920305070423E-4,-5.2273628257569814E-5,-7.765633719308035E-6,5.070258464132037E-4,-7.510256199609666E-5,-1.196605818612235E-4,5.708063642183939E-4,5.90969409261431E-5,-1.542624973115467E-4,5.740345943541754E-4,-3.3355539753323506E-5,-2.152011508033389E-4,3.043037085306077E-4,3.9910986309959774E-5,5.9598968142554875E-5,1.3485834712073918E-4,2.827906892413185E-4,-1.697909264337449E-4,1.2766250542231968E-4,1.8415422666640509E-4,-1.2858424867902483E-4,1.472816580817813E-4,1.8062619935898554E-4,-1.271508988879976E-4,2.631119762857755E-4,7.12852038088299E-5,3.1366234733944844E-5,2.7791929702895385E-4,-4.3196603655815125E-5,7.468745821998233E-5,4.4767858829194057E-4,-5.1970637979961576E-5,5.7632014864966984E-5,4.3757948359208446E-4,-1.0828886713300432E-5,1.981428691319057E-5,4.296739851789815E-4,2.2572669244947887E-4,-4.271950040544782E-5,3.0803272411936806E-4,8.560894500641596E-5,6.004458382016137E-5,1.3325017477784838E-4,-1.5663249152047293E-5,1.390377680460612E-4,3.905388127480235E-5,-9.249718416304815E-5,1.1970315660749163E-4,5.9449246951511926E-5,-9.389505499885196E-5,1.219425882611956E-4,2.634968786012559E-4,4.1150953620672226E-5,3.2285849253336586E-5,2.2480299785023643E-4,2.7124548242205665E-5,1.0234969002859934E-5,5.662874096915836E-4,-3.772441829953875E-5,-1.4736822673252651E-4,3.72832596656822E-4,-4.725583962031773E-5,-1.905361811319987E-5,0.0,0.0
72,free_gestures,free_gestures,4.3869391083717346E-4,5.349268515904745E-5,4.5226679907904734E-5,4.825956291622586E-4,2.431372801462809E-6,-5.609459347195096E-6,6.283525791433123E-4,-2.0999047491285535E-5,-2.4474329418606227E-5,8.528952797253927E-4,-5.270871851179335E-5,-1.852379904852973E-4,9.716517395443387E-4,1.0741502046585083E-4,-2.080135875278049E-4,0.001006927341222763,-1.0135273138682048E-4,-3.3790866533915204E-4,5.681831389665604E-4,8.979356951183743E-5,9.467866685655381E-5,2.4058297276496887E-4,2.884699238671197E-4,-1.6733010609944662E-4,1.9723342524634468E-4,2.694775660832723E-4,-1.9439392619662813E-4,2.2053801351123385E-4,2.638565169440375E-4,-1.9311242633395724E-4,4.4961263322167925E-4,1.125892417298423E-4,4.7107537587483726E-5,5.079033629347881E-4,-5.998493482669195E-5,1.5467405319213867E-4,8.27482073671288E-4,-7.06281926896837E-5,1.226365566253662E-4,8.32603119003276E-4,-4.113134410646227E-5,5.1928891075981985E-5,8.83930505046414E-4,1.5537026855680678E-4,-5.658136473761665E-5,5.624084216025141E-4,1.2540734476513334E-4,1.1558334032694499E-4,3.7162921701868373E-4,-8.648220035764907E-5,3.516541586981879E-4,6.046138393382231E-5,-1.8185791042115953E-4,2.3644831445482041E-4,8.497952431854274E-5,-1.8406990501615737E-4,2.3900138007269966E-4,4.983838233682844E-4,7.769902650680806E-5,7.104211383395725E-5,4.298775974247191E-4,5.5045924252933925E-5,4.08225589328342E-5,9.904160267776912E-4,1.1555643545256721E-4,-2.1207663747999404E-4,7.196116882065932E-4,-7.196433014339871E-6,1.5672710206773547E-5,0.0,0.0
93,free_gestures,free_gestures,2.274816074678975E-4,2.8734245607929844E-5,1.8368485153362316E-5,2.2452877413841986E-4,-8.04983159547211E-7,1.3820586665984123E-5,3.538673282951437E-4,5.513429641723633E-7,-1.4484569590578796E-5,4.0170966937977783E-4,-1.4340685259911322E-5,-1.082958713654549E-4,4.8556635456700476E-4,3.994376428665653E-5,-8.331832065377184E-5,5.055210923635831E-4,-3.254157240672778E-5,-1.5349541940996723E-4,3.158986888906007E-4,5.176118625107632E-5,3.603453277259744E-5,8.053452737869755E-5,-8.546536968600365E-6,9.49572491389449E-6,1.0224856356138824E-4,1.0139070531373383E-4,-9.676974306824387E-5,1.0898260660068964E-4,9.899562405001732E-5,-9.637494241037677E-5,2.2948116704981815E-4,5.1110662439818024E-5,2.437509516234039E-5,2.723214346715199E-4,-5.3812018645707E-5,9.027347769788516E-5,4.836003626546552E-4,-5.941076945233089E-5,6.338088743148311E-5,4.424602093715822E-4,-3.0794130858554634E-5,3.458351217290407E-5,4.585049345448453E-4,5.864135680660125E-5,6.457041668635542E-5,3.110712734601831E-4,7.418759407535677E-5,5.985331791703419E-5,2.2029520202708502E-4,-4.789713890321793E-5,1.903451899046539E-4,1.1774541069102543E-5,-8.406113552790816E-5,1.1567146547379033E-4,1.9394281891084488E-5,-8.517439647387433E-5,1.1657899425875755E-4,2.550527613650086E-4,4.232098017969439E-5,3.54730954734228E-5,2.0682811737060547E-4,2.767017451665735E-5,2.5118550946635586E-5,5.126143655469341E-4,6.965635925210933E-5,-7.09795182751071E-5,4.1778405917988667E-4,-6.508634936424994E-5,3.772140831075689E-5,0.0,0.0
68,free_gestures,free_gestures,2.7439392664853265E-4,3.50453397806953E-5,5.673660951502183E-5,3.000958000912386E-4,1.1242049581864302E-5,4.640396903542911E-5,4.195080083959243E-4,5.607767140164095E-5,-2.3620970108929803E-5,5.136978100327885E-4,4.467631087583654E-5,-9.96694845311782E-5,6.472626153160544E-4,5.203178700278787E-5,-8.342897190767176E-5,6.530490868231829E-4,-8.683958474327537E-5,-1.777515691869399E-4,4.1556204943095934E-4,7.238063742132748E-5,6.874519235947552E-5,1.8926052486195285E-4,-4.9173831939697266E-5,2.438180586870979E-5,1.274811870911542E-4,-1.094122143352733E-4,7.781561683205997E-5,1.303255558013916E-4,-1.0970147217021269E-4,7.785769069896025E-5,3.099593553034698E-4,6.867901367299696E-5,4.45246696472168E-5,4.159908943727393E-4,-1.7131952678456027E-5,1.0659414179184857E-4,5.175262742662145E-4,-1.7194186939912685E-5,1.2889329124899472E-4,6.18934617651736E-4,-3.521056736216826E-5,1.1670940062578986E-4,7.490551592234303E-4,-1.365704571499544E-4,-1.7394037807688993E-5,4.226180779583314E-4,9.801545563866111E-5,5.247663049136891E-5,3.4487713128328323E-4,-3.171668333165786E-5,2.734240363625919E-4,2.53279268851175E-4,-5.357326830134672E-4,5.749779589035932E-4,2.547865528065492E-4,-5.33017165520612E-4,5.760613609762752E-4,3.591894226915696E-4,6.783950854750241E-5,6.0298863579245173E-5,3.0515583999016704E-4,5.23679396685432E-5,5.5264024173512176E-5,6.915361565702102E-4,9.446547311895033E-5,-3.0559651991900275E-4,5.948345231659272E-4,6.932765245437622E-5,3.9717730353860295E-5,0.0,0.0
